"gene_id","logP"
"isogroup100049_c0_g1",NA
"isogroup100098_c0_g1",0
"isogroup1000_c0_g1",0
"isogroup100116_c0_g1",0.172610154012528
"isogroup100126_c0_g1",-0.467741079696752
"isogroup100178_c0_g1",0.360890439490428
"isogroup100278_c0_g1",0
"isogroup100295_c0_g1",-2.38207824327644
"isogroup100314_c0_g1",-0.031827444916385
"isogroup100352_c0_g1",-0.508361631017677
"isogroup100391_c0_g1",-0.766062964263688
"isogroup100432_c0_g1",0
"isogroup100434_c0_g1",NA
"isogroup100454_c0_g1",-0.0110340374022401
"isogroup100479_c0_g1",0
"isogroup100507_c0_g1",0.0596799514293457
"isogroup100515_c0_g1",0
"isogroup100546_c0_g1",0
"isogroup100594_c0_g1",0.0985065208479847
"isogroup100619_c0_g1",-0.478230822687505
"isogroup10064_c0_g1",-1.90169823707079
"isogroup100718_c0_g1",0
"isogroup100740_c0_g1",-0.508355912099976
"isogroup100778_c0_g1",-0.0110330095830885
"isogroup100868_c0_g1",0
"isogroup100880_c0_g1",-0.587246306222399
"isogroup100930_c0_g1",0
"isogroup100952_c0_g1",0.0894764211164592
"isogroup100978_c0_g1",-0.508354541435744
"isogroup100980_c0_g1",0.29581800385129
"isogroup101040_c0_g1",-0.663483898243377
"isogroup101073_c0_g1",0.546694910785342
"isogroup101117_c0_g1",0
"isogroup101147_c0_g1",-0.770405133212465
"isogroup101171_c0_g1",-0.348035575281634
"isogroup101196_c0_g1",0
"isogroup101325_c0_g1",-3.01461486375284
"isogroup101338_c0_g1",-0.478241206150546
"isogroup101339_c0_g1",0
"isogroup101381_c0_g1",-0.0361717470291346
"isogroup10151_c0_g1",NA
"isogroup101528_c0_g1",-0.903715478490218
"isogroup101532_c0_g1",-0.0110330095830885
"isogroup10155_c0_g1",0
"isogroup101649_c0_g1",-2.45204050960197
"isogroup101665_c0_g1",0.0552725740487692
"isogroup101675_c0_g1",0
"isogroup1016_c0_g2",0
"isogroup101722_c0_g1",0.1756813094658
"isogroup101725_c0_g1",-0.0110330095830885
"isogroup101743_c0_g1",0
"isogroup101749_c0_g1",0.698795534805186
"isogroup101759_c0_g1",-0.0110330095830885
"isogroup101786_c0_g1",0
"isogroup101817_c0_g1",0.640164498879598
"isogroup101838_c0_g1",0
"isogroup101856_c0_g1",0
"isogroup101873_c0_g1",0
"isogroup101899_c0_g1",3.31295474901414
"isogroup101903_c0_g1",0.29171739340279
"isogroup102046_c0_g1",-0.442084777230694
"isogroup102069_c0_g1",0.00874062302821954
"isogroup10209_c0_g1",0
"isogroup102121_c0_g1",-0.585293201035066
"isogroup102160_c0_g1",3.09014306034085
"isogroup102163_c0_g1",0
"isogroup102172_c0_g1",-0.853957726455628
"isogroup102243_c0_g1",-0.456393036559687
"isogroup102287_c0_g1",-0.314046112470996
"isogroup102339_c0_g1",1.83476251597135
"isogroup102395_c0_g1",-0.348062143456031
"isogroup10243_c0_g1",0
"isogroup102488_c0_g1",-0.0409649467754504
"isogroup102489_c0_g1",0
"isogroup1024_c0_g1",-0.781930386570576
"isogroup102653_c0_g1",0.00732502792682026
"isogroup102804_c0_g1",-0.478230822687505
"isogroup10280_c0_g1",-4.71492113956084
"isogroup10290_c0_g1",-0.0974830248505309
"isogroup102924_c0_g1",0.141011469985156
"isogroup102942_c0_g1",0.0389158367184476
"isogroup102947_c0_g1",0
"isogroup103007_c0_g1",0.0596819141227464
"isogroup103046_c0_g1",-0.0567181661051556
"isogroup103185_c0_g1",-0.271760020686819
"isogroup103275_c0_g1",0
"isogroup103312_c0_g1",0.220342532527136
"isogroup103361_c0_g1",-0.343463358423643
"isogroup10339_c0_g1",0
"isogroup103595_c0_g1",-0.115797882963332
"isogroup103603_c0_g1",0
"isogroup103638_c0_g1",-0.0110330095830885
"isogroup10383_c0_g1",0.863859821288281
"isogroup103964_c0_g1",0
"isogroup103_c0_g1",0
"isogroup104004_c0_g1",0
"isogroup104060_c0_g1",NA
"isogroup104159_c0_g1",0
"isogroup104216_c0_g1",0
"isogroup10434_c0_g1",1.86519835055292
"isogroup104519_c0_g1",-0.808457396073872
"isogroup104537_c0_g1",0
"isogroup104538_c0_g1",-0.0110330095830886
"isogroup104563_c0_g1",0.159206431118657
"isogroup10456_c0_g2",-0.167384039885806
"isogroup104587_c0_g1",0.877740754784157
"isogroup104602_c0_g1",-0.508364797340364
"isogroup104621_c0_g1",4.15279486020991
"isogroup104634_c0_g1",0
"isogroup104674_c0_g1",0.149707692729932
"isogroup104684_c0_g1",0.0596758630694358
"isogroup104696_c0_g1",0.0596819141227465
"isogroup104708_c0_g1",-0.348066415106258
"isogroup104714_c0_g1",0.139198645162715
"isogroup104715_c0_g1",0
"isogroup10471_c0_g2",0.286193671397812
"isogroup104743_c0_g1",-0.0110330095830886
"isogroup104753_c0_g1",-0.0129001794745633
"isogroup10475_c0_g2",0.454846906285349
"isogroup104775_c0_g1",0.159206431118657
"isogroup104810_c0_g1",0
"isogroup104812_c0_g1",12.8394682564258
"isogroup104824_c0_g1",-2.13311419401558
"isogroup104829_c0_g1",-2.21178007743946
"isogroup104836_c0_g1",NA
"isogroup104854_c0_g1",2.1598936417257
"isogroup104860_c0_g1",NA
"isogroup104863_c0_g1",3.85247594582434
"isogroup104868_c0_g1",-0.348058562334768
"isogroup104869_c0_g1",0
"isogroup104874_c0_g1",0
"isogroup10491_c0_g1",0.126845674882703
"isogroup104921_c0_g1",0
"isogroup104942_c0_g1",-0.359012675944877
"isogroup104957_c0_g1",-0.66348545755749
"isogroup104959_c0_g1",-0.878506294488238
"isogroup104964_c0_g1",0
"isogroup104967_c0_g1",0.578495409386745
"isogroup104974_c0_g1",-0.0110330095830885
"isogroup104980_c0_g1",0.0595220110038102
"isogroup105003_c0_g1",-0.0110340374022401
"isogroup10500_c0_g1",NA
"isogroup105031_c0_g1",0.144389972068354
"isogroup105032_c0_g1",-0.878506294488238
"isogroup105056_c0_g1",-0.348058562334768
"isogroup105057_c0_g1",-0.202195359754891
"isogroup105071_c0_g1",-0.0110330095830885
"isogroup105082_c0_g1",0
"isogroup105104_c0_g1",-0.0110330095830886
"isogroup105133_c0_g1",NA
"isogroup105144_c0_g1",0.398717600323046
"isogroup105147_c0_g1",NA
"isogroup105190_c0_g1",1.79635965935969
"isogroup105191_c0_g1",1.64458039784377
"isogroup10519_c0_g1",NA
"isogroup105225_c0_g1",0
"isogroup10523_c0_g1",-1.13419030129348
"isogroup105244_c0_g1",-0.348063126618
"isogroup105249_c0_g1",0
"isogroup10524_c0_g1",-0.663492797384459
"isogroup105284_c0_g1",0.0596808378102797
"isogroup105296_c0_g1",NA
"isogroup105326_c0_g1",-0.011039432435756
"isogroup10533_c0_g1",0
"isogroup105360_c0_g1",0.0596819141227464
"isogroup105361_c0_g1",0
"isogroup105385_c0_g1",-0.508356027574578
"isogroup105414_c0_g1",-0.0110330095830885
"isogroup10541_c0_g2",0
"isogroup105440_c0_g1",-0.960450566310284
"isogroup105445_c0_g1",0.266166928285135
"isogroup105457_c0_g1",0.140870569204585
"isogroup105461_c0_g1",0.129603436001585
"isogroup105466_c0_g1",0.420316047691159
"isogroup10546_c0_g1",1.98669837148724
"isogroup105494_c0_g1",-0.720633501982097
"isogroup105505_c0_g1",0.240989710938683
"isogroup105506_c0_g1",0
"isogroup105538_c0_g1",0.488866821400455
"isogroup105554_c0_g1",-1.30028299524981
"isogroup105555_c0_g1",0
"isogroup105558_c0_g1",-0.404570397118238
"isogroup105560_c0_g1",0
"isogroup105563_c0_g1",0.0596819141227464
"isogroup10556_c0_g1",0
"isogroup105588_c0_g1",0
"isogroup105593_c0_g1",0.779555693916553
"isogroup10559_c0_g1",0.305657508624429
"isogroup105610_c0_g1",0.418022291055607
"isogroup105617_c0_g1",2.55933518273884
"isogroup105640_c0_g1",0.159548745490796
"isogroup105663_c0_g1",-0.348058562334768
"isogroup105667_c0_g1",0
"isogroup10568_c0_g1",0.190098494796904
"isogroup105690_c0_g1",-0.790137104530579
"isogroup105701_c0_g1",2.17657095678671
"isogroup105716_c0_g1",NA
"isogroup105718_c0_g1",-0.0110330095830885
"isogroup105733_c0_g1",0
"isogroup105736_c0_g1",-0.690706097674433
"isogroup105739_c0_g1",2.05836870762055
"isogroup105754_c0_g1",NA
"isogroup105761_c0_g1",-0.097686748998885
"isogroup105767_c0_g1",0
"isogroup105770_c0_g1",0
"isogroup105773_c0_g1",0
"isogroup105805_c0_g1",NA
"isogroup105808_c0_g1",0
"isogroup105865_c0_g1",1.51324787482608
"isogroup105873_c0_g1",-0.0128592555401484
"isogroup105886_c0_g1",NA
"isogroup105892_c0_g1",0.854240554307298
"isogroup105894_c0_g1",0
"isogroup105901_c0_g1",0
"isogroup10591_c0_g1",-0.251877844292963
"isogroup105924_c0_g1",-0.259274949502432
"isogroup105926_c0_g1",-0.348058562334768
"isogroup105931_c0_g1",1.70177927093294
"isogroup105944_c0_g1",1.79522839054224
"isogroup105983_c0_g1",-0.0110330095830885
"isogroup105987_c0_g1",-2.12613747232821
"isogroup106015_c0_g1",-0.771568522245751
"isogroup106017_c0_g1",-0.596640834424422
"isogroup106038_c0_g1",0.488046662983882
"isogroup106046_c0_g1",2.72867335388152
"isogroup106050_c0_g1",0
"isogroup106059_c0_g1",-0.0110362936652085
"isogroup106068_c0_g1",0.699658296188113
"isogroup106095_c0_g1",0
"isogroup106123_c0_g1",0
"isogroup106140_c0_g1",-0.0110330095830886
"isogroup106146_c0_g1",-0.508366664331836
"isogroup106168_c0_g1",0
"isogroup106173_c0_g1",0
"isogroup106178_c0_g1",0.192977533167947
"isogroup106215_c0_g1",NA
"isogroup106224_c0_g1",0
"isogroup106232_c0_g1",-0.896034557272123
"isogroup106249_c0_g1",0.159206431118657
"isogroup106260_c0_g1",-0.631902388582724
"isogroup106265_c0_g1",0.0596808378102797
"isogroup106266_c0_g1",-0.0110369588525912
"isogroup106317_c0_g1",0
"isogroup106345_c0_g1",0
"isogroup106361_c0_g1",16.6441308932692
"isogroup106366_c0_g1",0.521809642075993
"isogroup106382_c0_g1",1.10513241489816
"isogroup106383_c0_g1",0.249186195351546
"isogroup106384_c0_g1",0
"isogroup10638_c0_g1",-1.67719247943917
"isogroup106396_c0_g1",3.85471585290226
"isogroup106409_c0_g1",-0.0110330095830885
"isogroup106422_c0_g1",0
"isogroup106449_c0_g1",NA
"isogroup106475_c0_g1",-1.17732392342158
"isogroup106495_c0_g1",0
"isogroup106513_c0_g1",-0.348059417851791
"isogroup106526_c0_g1",0
"isogroup106547_c0_g1",0.0596819141227464
"isogroup106559_c0_g1",0.192977533167947
"isogroup106560_c0_g1",-3.29519660445752
"isogroup106568_c0_g1",-0.348058562334768
"isogroup106592_c0_g1",0
"isogroup106623_c0_g1",-0.720927245747652
"isogroup106638_c0_g1",0.13927936815818
"isogroup106654_c0_g1",0
"isogroup106683_c0_g1",-0.0241455015497919
"isogroup106686_c0_g1",NA
"isogroup106694_c0_g1",0.417041880076514
"isogroup106740_c0_g1",1.78013080893884
"isogroup106743_c0_g1",0.237878813255802
"isogroup106757_c0_g1",-2.23533719245443
"isogroup106763_c0_g1",-0.0296693110320098
"isogroup106765_c0_g1",2.00992210935255
"isogroup106790_c0_g1",0.364726077301855
"isogroup10679_c0_g1",-0.0110330095830885
"isogroup106808_c0_g1",2.73911189143898
"isogroup106845_c0_g1",0
"isogroup106944_c0_g1",-0.215630904838
"isogroup106988_c0_g1",0.187566480581685
"isogroup106998_c0_g1",0.298752444211302
"isogroup10699_c0_g1",-0.360207299897353
"isogroup107000_c0_g1",NA
"isogroup10700_c0_g1",0.29171739340279
"isogroup107021_c0_g1",1.76647846840478
"isogroup107057_c0_g1",NA
"isogroup107097_c0_g1",0
"isogroup107102_c0_g1",0.197110325939308
"isogroup107114_c0_g1",0.183444908410005
"isogroup107144_c0_g1",NA
"isogroup107158_c0_g1",-0.0110330095830885
"isogroup10715_c0_g1",0.239874026987629
"isogroup107169_c0_g1",0.0869826119559803
"isogroup107182_c0_g1",0
"isogroup107197_c0_g1",-0.770405133212465
