"","DC33","DC39","DC85","DC93","DC97","DC135","DC136","DC108","DC110","DC112","DC114","DC118","DC123","DC131","DC24","DC56"
"k141_229285_12_Belongs_to_the_P_II__protein_family",-0.869564966524184,-0.634265335275667,-0.760742520867982,0.108723476014088,-0.395319482534412,-0.0642253236044358,-0.647508818342978,-1.47451682548337,1.56631919286027,-0.299063841248927,0.320937215622931,1.01329323184108,0.782023733633854,1.55354157220929,-1.47451682548337,1.27488551718381
"k141_229285_13_copper_ion_binding",-0.26526237025691,-0.109722245117898,-0.590393307767214,-0.44777169126859,-0.283944591999341,-0.0756629219326578,-0.245947321040424,-2.5738246038759,0.349578406114107,-0.272982129798729,0.031100387529672,1.17481764851834,1.1359930954721,2.15395316705217,-0.200959357704624,0.221027836075897
"k141_229285_5_CBS_domain",-0.749959219594741,-0.110308629069424,-0.970242912002428,0.103573944943115,-0.643449930557147,0.119402679864227,-0.876534168761091,-1.78976873322558,1.35061934694634,-0.0691687731385077,0.0949989190508436,1.29958048194679,1.45665534729918,1.50628406904967,-1.02993941196429,0.308256989213048
"k141_229285_6_Belongs_to_the_LDH_MDH_superfamily",-0.357926824522997,-0.336859238358625,-0.785975556380829,-0.0638162058637871,-0.553311583842069,0.174966989770458,-1.64812684914696,-1.64812684914696,1.1677249947608,-0.070018589435081,0.119428896766713,1.29748461162565,1.18589091027703,1.4699654909202,-0.906412502436726,0.955112305013188
"k141_229285_8_-",-1.79824131662517,-0.662273878888829,-0.929116715697757,-0.55271904111712,-0.859365935578563,0.094859801525044,-1.05285866849028,0.376013396624998,2.00757936780138,-0.0916557497490247,0.144403098855679,0.657995974916037,0.875216826189246,1.56967388466497,-0.345159015850233,0.565647971419615
"k141_229285_9_DnaJ_molecular_chaperone_homology_do",-0.176620453210599,0.20054205153132,-0.141488161927947,-0.376428064797501,-0.346746464063503,-0.333234075508823,-0.203584563095699,-1.52247778175519,2.77396716155038,0.00063937334290629,0.562765914688445,0.457303677004658,0.527065471580497,0.873389629899049,-0.772615933482808,-1.52247778175519
"k141_24439_3_transcriptional_regulators",-0.228926486834407,-0.186810194966234,-1.06946544823415,-0.728856797788425,-0.820485026462352,0.11075480059766,-0.94168901697963,-1.45507749094456,1.45099262590419,-0.0149109391259143,0.169564756408081,1.34946917762915,1.03267367019747,1.98050671374252,-0.767823035786167,0.120082692642762
"k141_24439_4_CBS_domain",-0.392934310118201,-0.0222073398858676,-1.50139048898421,-0.187230556288552,-1.05172243902834,0.246685472306511,-1.27205160590693,-0.782907974149987,1.19474456589736,-0.064192847359327,0.163870349854505,1.01804133297562,1.34903923782705,1.6648078144563,-1.18273359890046,0.820182387304537
"k141_3511_10_amino_acid",-1.06041134862057,-0.200341945521898,-0.92746928401641,-0.171147011143755,-1.18171129607848,-0.131453999426581,-0.849583341003481,-0.456495403987639,1.6729829599948,-0.48211370457309,0.202420627885908,1.11140046583943,0.974132453807321,1.72419379898434,-1.19561075784709,0.971207785707187
"k141_3511_11_-",-0.424422287807372,-0.172100690501046,-0.401153853178252,-0.182406841531054,-0.234690250978403,-0.527616669728273,-0.315154529561305,-1.29207236508326,2.87645361101253,-0.377290398078225,-0.13107182892505,1.0181644653144,-0.119102352150959,1.01135221027003,-1.29207236508326,0.56318414600949
"k141_3511_13_Cell_division_protein_48__CDC48___dom",-0.694894066829219,-0.726441049582764,-0.599208374373705,-0.641133208433906,-0.672757627429199,-0.188551184905671,-0.496420913327687,-0.966957347771332,2.33565278837139,-0.408014876779204,-0.0819917096681322,1.55497554700025,-0.284467544409507,1.6167421672294,-0.496318062962204,0.749785463871493
"k141_3511_14_Belongs_to_the_small_heat_shock_prote",-0.28802630408926,-0.750005361304036,-0.368449194388912,-0.57916400595457,-0.728861292062084,-0.636640580433175,-0.132066586474845,-0.810901937889372,2.81216022771279,-0.339447831119884,-0.431918587302114,1.26851541281146,-0.264693486069331,1.51499957313706,-0.29416102532034,0.0286609787466219
"k141_3511_15_-",-0.375971599993602,-0.10014731751729,-0.328975229616208,-0.597730560295335,-0.00140344365521622,0.32933621370187,-0.357247934592873,-2.30376986150001,2.18999823330317,-0.281085293409872,0.0503469838615315,1.27039399653318,0.470072875276943,1.17868263541432,-0.777662544326568,-0.364837153184031
"k141_3511_26_-",-0.548706729436901,-0.240661701606679,-0.227575904808404,-0.579561257630478,-1.16187356363654,-0.704528426151238,-0.221331089502986,2.16620842923666,2.29040942268421,0.253375650385301,0.0747442045505449,0.616407245263457,-0.590097122378334,0.406229605992851,-1.14168852506417,-0.391350237897285
