"","DC39","DC85","DC93","DC97","DC135","DC136","DC108","DC110","DC112","DC114","DC118","DC123","DC131","DC24","DC56"
"Belongs_to_the_ATP_guanido_phosphotransferase_family",1.96897415708241,-0.606078437503848,-0.606078437503848,-0.606078437503848,-0.606078437503848,-0.606078437503848,-0.246326425105384,1.82660236402598,-0.309109694388641,-0.606078437503848,-0.0293834281919004,1.90282113495551,-0.264950608347185,-0.606078437503848,-0.606078437503848
"MDH1_Malate_dehydrogenase",-0.488032268442888,-0.488032268442888,-0.488032268442888,-0.488032268442888,-0.146523794463218,-0.247655667001451,0.650521300451592,2.77115548345335,1.85282536198862,-0.488032268442888,-0.488032268442888,-0.488032268442888,-0.488032268442888,-0.488032268442888,-0.488032268442888
"Belongs_to_the_ATP_guanido_phosphotransferase_family.1",-0.500245751996713,-0.500245751996713,-0.500245751996713,-0.500245751996713,-0.0460587165614706,-0.500245751996713,1.07326676380953,2.03995433794587,2.43554088676992,-0.500245751996713,-0.500245751996713,-0.500245751996713,-0.500245751996713,-0.500245751996713,-0.500245751996713
"NDUFS7_quinone_binding",-0.0382166989734614,-0.355855436691259,-0.0605395112337278,-0.534401829996973,-0.17476835575394,-0.813968467826753,-0.308623420892448,-0.117952569017831,-0.523239483007604,-0.401139114993838,0.524451168007786,-0.418742466767057,0.494231328797153,-0.626594255120877,3.35535911347084
"TMEM136_Transmembrane_protein_136",-0.747593782893753,0.547530619771696,0.252550386047504,0.764274659439124,-1.04984433115458,0.399028539588713,-0.215367480952929,0.415823135302003,-0.219919517403204,-0.329767279079989,-0.387627670936017,-2.05040260042478,-0.627588743079325,0.980381444934696,2.26852262084084
"Mitochondrial_carrier_protein",-0.697771699141667,-0.176266951631962,-0.230347157418881,-0.289756699611901,-0.28503751400355,-0.46181284202429,0.0772284978821874,0.170713749017553,-0.230512551980789,-0.350466424165929,-0.212676077514016,-0.931499207906612,0.0404754142361354,0.12681720106543,3.45091226319829
"SLC25A10_Mitochondrial_dicarboxylate_carrier",-0.0253549525361317,-0.659195185278385,-0.256493262156478,-0.821378474891679,-0.245093527444581,-0.69966781399462,-0.366809369247075,-0.421905360735023,-0.176035820453159,-0.231317804652001,0.363584193992426,0.389366782411238,0.619426836334459,-0.735508049544045,3.26638180819505
"SLC25A25_ATP_transmembrane_transporter_activity",-0.389875479735469,-0.544045104090038,-0.321761622449951,-0.682293394228405,-0.653507080507544,-0.244240822787533,-0.128911414205953,0.264761240354313,0.0201271744165017,-0.17699242348065,-0.0960544597260862,0.369791143658796,-0.0909999065879306,-0.742468493009352,3.41647064237928
"ATP6V1B2_V.type_proton_ATPase_subunit_B",-0.58805007198578,0.0835007753204626,-0.665997659151196,0.909779601514392,-0.0928279154710466,-0.226252726897534,-0.196476477187146,-0.557289056004104,1.3159536850705,0.70905086345233,1.13911802969583,0.227354748544114,1.21286178142057,-0.751233949275744,-2.5194916290456
"Electron_carrier_protein._The_oxidized_form_of_the_cytochrome_c_heme_group_",-0.534595492619451,-0.590253782965515,-0.460699960796253,-0.408013481284134,-0.126059370835601,-0.58894717407784,0.593478399143653,2.27927629416647,2.43210138610048,-0.424114544087203,-0.387046536576046,-0.372290739667445,-0.467908529703255,-0.591300897582208,-0.353625569215653
"CYB5R4_heme_binding",0.307921059793232,-0.788674617802178,-0.495746070002082,-0.875291360570194,-0.472719715853498,-0.312127622247991,-0.0354986755431094,-0.215770864565773,0.104932667744929,-0.00344877691362527,0.0418040404766771,-0.341403304679841,0.178342672828486,-0.484475638624655,3.39215620595962
"SLC25A31_ATP.ADP_antiporter_activity",-0.726324261471361,-0.406018335020205,-0.48724841935744,-0.517546060918668,0.130259014639014,-0.516283220251318,0.857124899046397,2.39337274803861,2.11760891259541,-0.103635281877352,-0.643683116451301,-0.457484114791056,-0.552985209888816,-0.401189541013054,-0.685968013278872
"GDE1_glycerophosphodiester_phosphodiesterase_1",-0.922324927100844,0.548682142725966,-0.665712782298526,0.320237676246007,-1.11578891264526,-0.0674730831081157,-0.419505590449416,0.38781792147579,0.404120951516183,-1.00543169508622,-0.337941568574785,-0.205362389868197,-0.415352256517608,0.498143199571355,2.99589131411367
"fdx1_2_iron._2_sulfur_cluster_binding",-0.539140997978934,-0.103286745702486,0.191047038154381,-0.0533216861668255,-0.649165771230157,0.0708341317056072,-0.389432858667732,0.0055275323426523,-0.284579498458767,-0.604719649317773,-0.0512840352939858,-0.747832679230503,-0.0304440141392838,-0.277535379264838,3.46333461324866
"CYB5R4_heme_binding.1",0.402500069310672,-0.952246838189429,-0.628258583039323,-0.880049870022256,-0.390625178751782,-0.268503762108881,0.0051410561955755,-0.555320224093978,0.339433320090786,0.08473131556488,0.206658495479867,-0.236569253967334,0.345955843321344,-0.697918606508088,3.22507221671795
"SLC25A11_oxoglutarate.malate_antiporter_activity",-0.307776000534208,-0.542001220177224,0.817946669493601,-0.750748156597148,-0.717135171653576,-0.923964073609027,0.795294242844926,0.256930055027168,-0.502117543739878,-0.395477996010407,0.281860878303478,-0.552502693342884,0.278628363598609,-0.724904615878432,2.98596726227501
