"","DC39","DC85","DC93","DC97","DC135","DC136","DC108","DC110","DC112","DC114","DC118","DC123","DC131","DC24","DC56"
"ABCE1_4Fe.4S_binding_domain",-0.543709026341253,-0.543709026341253,-0.543709026341253,-0.543709026341253,-0.250876463302169,-0.543709026341253,0.563770185642713,2.84236838933151,1.696581794138,0.00776654655047538,-0.543709026341253,-0.543709026341253,-0.543709026341253,0.0337707847107439,-0.543709026341253
"ATP_synthesis_coupled_proton_transport",-0.301234439100994,-0.58218594083718,-0.58218594083718,-0.58218594083718,-0.58218594083718,-0.58218594083718,0.077698281569731,1.53991297708034,0.304056709795587,2.9473996339092,-0.0906922226274776,-0.58218594083718,-0.58218594083718,0.180346586071054,-0.58218594083718
"ATP_synthesis_coupled_proton_transport.1",-0.521085664155745,-0.521085664155745,-0.521085664155745,-0.521085664155745,-0.276795977540657,-0.521085664155745,0.696538111319156,2.78198812031208,1.78722351245811,-0.239216352308545,-0.05996643683843,-0.521085664155745,-0.521085664155745,-0.521085664155745,-0.521085664155745
"ATP5D_proton.transporting_ATP_synthase_activity._rotational_mechanism",-0.572821165681439,-0.572821165681439,-0.572821165681439,-0.572821165681439,-0.572821165681439,-0.572821165681439,0.813355251258344,2.49592483829983,1.57507198610463,1.12573029516491,-0.572821165681439,-0.572821165681439,-0.572821165681439,-0.281870714013319,-0.572821165681439
"MDH2_L.malate_dehydrogenase_activity",-0.59008763539727,-0.59008763539727,-0.59008763539727,-0.59008763539727,-0.59008763539727,-0.59008763539727,0.161696700331779,2.43771455350559,1.23884872127748,1.69742696294617,-0.59008763539727,-0.59008763539727,-0.59008763539727,0.365189415911683,-0.59008763539727
"Belongs_to_the_ATP_guanido_phosphotransferase_family",-0.533423201089647,-0.533423201089647,-0.533423201089647,-0.533423201089647,-0.251700594190516,-0.533423201089647,0.677921607613267,2.66135894921311,1.9317820859949,0.0878401711474704,-0.533423201089647,-0.533423201089647,-0.533423201089647,-0.306393409971408,-0.533423201089647
"ATP5B_Produces_ATP_from_ADP_in_the_presence_of_a_proton_gradient_across_the",-0.726922034427557,-0.726922034427557,-0.546763678200305,-0.726922034427557,-0.179464788023014,-0.46609271153127,0.587719021496809,2.21817597883524,1.38088043980118,1.75541578659418,-0.446650933910065,-0.726922034427557,-0.591667564614862,-0.0769413783101116,-0.726922034427557
"ATP5A1_proton.transporting_ATP_synthase_activity._rotational_mechanism",-0.499810078850911,-0.357456529806543,-0.663029469796015,-0.439611851051088,-0.0796517276013127,-0.663029469796015,0.803570817699032,2.36609932698962,2.21292630883951,-0.128408847601546,-0.663029469796015,-0.663029469796015,-0.345023319262767,-0.44054381130805,-0.439972408861891
"Surf1_Probably_involved_in_the_biogenesis_of_the_COX_complex",1.47467166657274,1.51861110747736,0.180520222931562,0.248221904812008,0.51469400495372,1.33703822410532,-0.514933983313271,-0.81068710722268,0.824395076113083,-1.23908353880245,-0.387101851907381,-1.1218924192885,-1.15912650717505,0.311848250531434,-1.17717504978787
"Electron_carrier_protein._The_oxidized_form_of_the_cytochrome_c_heme_group_",-0.534595492619451,-0.590253782965515,-0.460699960796253,-0.408013481284134,-0.126059370835601,-0.58894717407784,0.593478399143653,2.27927629416647,2.43210138610048,-0.424114544087203,-0.387046536576046,-0.372290739667445,-0.467908529703255,-0.591300897582208,-0.353625569215653
"SLC25A27_Mitochondrial_carrier_protein",-0.284849460286509,0.98193158547857,1.36886163809321,0.930775363487903,1.04009776064622,0.692139152510604,-1.54369636300451,-1.09082743268217,0.154019836127511,0.889833287612492,-0.795003875420059,-1.634669218169,-0.799156976111075,0.444228632493618,-0.353683930776834
"SLC25A31_ATP.ADP_antiporter_activity",-0.726324261471361,-0.406018335020205,-0.48724841935744,-0.517546060918668,0.130259014639014,-0.516283220251318,0.857124899046397,2.39337274803861,2.11760891259541,-0.103635281877352,-0.643683116451301,-0.457484114791056,-0.552985209888816,-0.401189541013054,-0.685968013278872
"ndufs8_4_iron._4_sulfur_cluster_binding",-0.0400009738376867,2.14623833002149,1.47443161259391,0.904168820643689,0.342227164422869,0.328722429773302,-0.876695187148762,0.0808721659916019,0.16882402460035,-0.423477021716813,0.287332421878414,-1.11449079403771,-1.10427629077124,-0.709116690087252,-1.46476001232613
"ALDH3A2_Belongs_to_the_aldehyde_dehydrogenase_family",-0.058030522472821,-0.786014728564033,-1.01650691306638,-0.83887474949515,-0.859961015918097,-0.673091735674974,-0.488089390177394,1.42383337679737,0.33928039336144,0.251455779908012,1.10821062799098,1.54442885089171,1.02657383358446,-1.68338155342577,0.710167746260659
"IYD_iodide_peroxidase_activity",0.395063612370833,1.77035149851514,1.44705969677308,0.871769037612692,-0.504696031389534,1.0275867151689,-0.203309561590706,-0.594994908305032,0.00401334883606512,-1.70797515664849,-0.762948634611832,-1.44903017239634,-0.0944070805825077,0.411751190568213,-0.610233554320521
"ATP5H_Mitochondrial_membrane_ATP_synthase_.F.1.F.0._ATP_synthase_or_Complex",-0.610968743276732,-0.296729579378481,-0.189220388022383,-0.610968743276732,-0.610968743276732,-0.387702358345407,1.00359668765006,2.02533960419288,2.46304382687017,-0.244874606068253,-0.610968743276732,-0.610968743276732,-0.352360523336271,-0.355280203901907,-0.610968743276732
