"","DC39","DC85","DC93","DC97","DC135","DC136","DC108","DC110","DC112","DC114","DC118","DC123","DC131","DC24","DC56"
"MutL_C_terminal_dimerisation_domain",-0.694325286746932,-1.33176140497692,-0.784672424956411,-0.810195839549079,-0.0517423343645927,-0.926918721533343,-0.7475956543794,1.61078746203741,0.78013694344133,0.0362401663363681,0.706630133445987,2.06402841443739,0.89323128018143,-0.452000017156599,-0.291842716216634
"MutL_C_terminal_dimerisation_domain.1",-0.652258978395183,-1.22461654573134,-1.76204180210272,-0.521650242532305,0.0328802869048924,-0.237915784185374,-0.620642117168248,1.40373278784287,0.83292590630614,0.624423308378939,0.896157512857928,1.79642952572176,0.566958266887169,-0.88799817043882,-0.246383954345707
"PRIM2_DNA_primase_activity",0.33148415259375,1.0497537300657,1.24378001500212,1.23998434655,-0.322984031838589,0.876018485519177,-0.641176244782024,0.242355341577444,0.119966274189063,-0.513636269122985,-1.19820078743291,-1.97540172934162,-1.40423771434735,0.876514642887989,0.0757797884802062
"positive_regulation_of_DNA_ligase_activity",-0.224463538463275,1.71932967487109,0.493729568496912,1.64409105130818,-0.302912505001157,0.930921777454314,-0.691733956689405,-0.43464926719922,-0.110539856899676,-0.355327370830168,-0.341358252441623,-2.09024583404954,-1.09173735879285,0.0814085675528792,0.773487300683553
"Integrase_core_domain",0.800018001702661,0.301447330689416,1.39977004853712,0.0983950824350507,-0.224877917285639,2.60144040498223,-0.710945795236417,-0.650421062817632,-1.36895338631407,-0.275813728477936,-0.260237196657689,-0.715154797681098,-0.534934829377147,0.332450876592398,-0.792183031091229
"TATDN2_hydrolase_activity._acting_on_ester_bonds",1.35859655061154,0.659605663418543,1.45294208348226,0.746523233534086,0.498888876873717,0.826079350853428,-0.633875521219568,-0.733867939162862,0.0573689229209297,-0.742439866101546,-1.30633030673253,0.911043624575309,-1.60594187926481,-1.19214097634568,-0.296451817442837
"MCM4_DNA_replication_initiation",-0.699230912391479,1.53829270627347,0.887772818053251,1.71009521969218,-0.214500930510265,0.216369997668686,-1.24454493258023,-0.110736766750106,-0.0214935039932844,-0.424075487106412,-0.479694747046999,-2.02676009636001,-0.476292129605666,0.926291602409786,0.418507162247076
"TOR_positive_regulation_of_cholangiocyte_proliferation",-0.826404798853555,-1.18313590573662,-1.58822079612626,0.0202155373929879,-0.295934861493191,-0.445789647158339,-0.375674751931526,1.06665023847204,-0.372501283813381,-0.269493588133488,0.969089146234757,1.68636633407751,1.79717608580219,0.451228975213933,-0.633570683947062
"MCM3_MCM_OB_domain",-0.794587324189763,1.90938710104246,1.41446939357058,1.16419307448162,0.0756264491439173,0.206332458932342,-0.32724527703466,-0.166928983427884,-0.318652717869161,-0.611420846365031,-0.759794889530428,-1.48186030848019,-1.00203549082689,1.26580122310171,-0.573283862548606
"MCM2_DNA_replication_initiation",-0.130395046256873,1.96477783096896,1.39023656721114,1.51361029848892,-0.32290809249199,-0.538603351816597,-0.452391657892754,-0.348874498962074,-0.742677813983601,-0.716844630447785,-0.45451125911476,-1.64803947791361,-0.675097859266665,0.408330177615137,0.75338881386254
"Mcm7_DNA_replication_initiation",-0.399730385527424,1.76230180540457,-0.0018551592882645,1.10385773324501,0.260311941554121,0.887134907360646,-1.14031117267088,0.229811790841427,-0.197750073000898,-0.209844634082113,-0.641258178010373,-2.03711605933528,-1.15291155651292,1.04524210803579,0.492116931986592
"ORC1_Origin_recognition_complex._subunit_1",-0.749323024677291,1.87683538882507,0.675993843227237,1.51692114441938,0.476635862214213,0.332962834704146,-0.679420991184393,-0.426838304028837,-0.150744234544911,-0.116180973131042,-0.355737956460939,-2.13876164276823,-0.987858645694052,0.678995628159491,0.0465210709401487
"Structural_maintenance_of_chromosomes",1.29545997056835,1.55086583277247,1.1314916026343,0.584425107784169,-0.0941565073232215,0.888504649824076,-0.691117187469233,-1.74564294752388,-0.700777753877702,-0.0482986803641959,0.518254466764287,-0.254209554448875,0.0343988342560854,-1.45285311378153,-1.01634471981512
"HELZ_Helicase_with_zinc_finger",0.0520351139803766,-1.58233565826535,-0.556438299971776,-0.789779456933383,-0.822483866956484,0.0153139727400147,0.075780498056883,0.392201810531419,1.79877176628805,0.670367733104241,1.02624176126336,0.547478813667109,1.44133662258087,-1.26746957687285,-1.00102123321247
"MCM3_DNA_replication_licensing_factor_MCM3",-0.611774754583621,1.81376738834854,0.316724185816593,1.48807401990056,0.545080867223637,0.763528578529871,-1.29110791283368,-0.906951567421238,0.0985939054905931,-0.562054029036212,-0.50032508307618,-1.70970053710902,-0.334140137149779,1.01290621555591,-0.122621139655946
"HELZ2_nuclear_receptor_transcription_coactivator_activity",0.0530224302082706,-1.4211056727925,-0.498214712773579,-0.904876798384481,-0.326426220879792,-0.426246808437268,0.551846361691866,0.32572076452782,1.75184741847053,0.932717271547561,1.13785824520607,0.598929525182735,0.795254496829712,-0.700496015374203,-1.86983028502272
