"","DC129","DC105","DC107","DC116","DC121","DC133","DC54","DC55"
"SMC6_recombinational_repair",-0.645854554640621,-1.15564184661838,-1.4279384059992,0.217184629599637,1.18856295776603,1.20029397040213,0.549908159121898,0.0734850903685094
"MCM6_DNA_replication_initiation",0.682924532515179,1.42510424786489,1.19153141854204,-0.424353903646898,-1.0713235788716,-0.272125508584352,-1.26983397582838,-0.261923231990888
"ACO2_regulation_of_ARF_protein_signal_transduction",0.902664574403073,-1.1534892464649,-1.1534892464649,1.07342891485415,-1.1534892464649,0.737670335744713,0.0429024046019205,0.703801509790859
"SMC6_Structural_maintenance_of_chromosomes",1.23485802462922,-1.21429757369495,-0.875145253085673,0.628982363301606,1.07666518516327,0.695581583643212,-0.77076951491728,-0.775874815039405
"XRCC6_X.ray_repair_complementing_defective_repair_in_Chinese_hamster_cells_6",-0.102358482815189,-1.12807757259555,-1.12807757259555,-0.0806164569817413,2.03915791870134,0.0347969421870608,-0.142876204324036,0.508051428423663
"KRAB.A_domain_containing_2",-0.105005393347237,-0.96127235952076,-0.96127235952076,0.984094531850925,-0.96127235952076,0.69877751211841,1.62953931853576,-0.323588890595577
"DNA_integration",0.502968972973264,-0.919279348339974,-0.919279348339974,-0.12985748733401,1.70029346529569,-0.919279348339974,-0.389122459879003,1.07355555396399
"K02A2.6.like",-0.475868158085142,-0.644500077798053,-0.644500077798053,-0.644500077798053,-0.644500077798053,-0.135868683400971,1.53849374030155,1.65124341237677
"PSD2_regulation_of_ARF_protein_signal_transduction",-0.716525789708555,-0.983434923030871,-1.63931636511786,1.29142823831481,0.290494512975182,0.655675370079006,0.697733982232863,0.403944974255427
"PSD2_regulation_of_ARF_protein_signal_transduction.1",-0.865516015336043,-1.18959372043781,-1.14969109444759,1.49383747937614,-0.207608295624358,0.728026164676336,0.578152474015195,0.612393007778118
"K02A2.6.like.1",-0.452769525684866,-0.750695244292211,-1.20840721148108,-0.687126907584564,-0.255308917983399,0.562190378815071,1.49571938545564,1.29639804275541
"DNA_polymerase_epsilon_catalytic_subunit",-1.36888519656069,-1.0408640530348,-0.800704444602674,1.00105226989991,-0.363254430222648,0.919891303121114,0.659719494547902,0.993045056851884
"MLF1_Myeloid_leukemia_factor",-1.33931302781468,-1.11507680743096,-0.912587627778616,0.417090395950767,0.504088719561789,0.319268672880362,1.47494529535953,0.651584379271813
"K02A2.6.like.2",0.642503315008137,-1.18683840003209,-1.18683840003209,0.889115851508133,-1.18683840003209,0.324878697607114,0.769781480811779,0.934235855161122
"SMC6_Structural_maintenance_of_chromosomes.1",0.653758650116515,-1.11410497476086,-1.29755883485266,0.138857272749984,1.12558115701569,1.38712059384542,-0.584820343474554,-0.308833520639541
"HELZ2_nuclear_receptor_transcription_coactivator_activity",0.498808699159414,1.25268306909437,1.00753688863223,0.0912793909547061,-1.89798853335845,-0.59030996970266,-0.447613767486683,0.0856042227070805
"PRKDC_DNA.dependent_protein_kinase_activity",-0.765690657851263,-1.5585430203341,-0.793656084585683,0.056416731892342,0.283288109835385,0.595281517854169,1.60838630553864,0.574517097650513
"DNA.dependent_ATPase_and_5..3._DNA_helicase_required_for_the_maintenance_of_both_mitochondrial_and_nuclear_genome_stability",-1.07845971427953,-1.03287343453012,-1.08764061421383,-0.273866392197422,0.562217502330066,0.499594806236862,1.3467956939838,1.06423215267017
"SMC6_recombinational_repair.1",1.27633061400855,-1.23147159046406,-0.85077643115285,0.352551181622393,1.19042006545948,0.71997445533283,-0.797129523385752,-0.659898771420588
