"","term","nseqs","delta.rank","pval","padj"
"4","Carbohydrate transport and metabolism",33,-110,0.0112644516479354,0.146899626766175
"6","Cell cycle control, cell division, chromosome partitioning",12,156,0.0290027167305221,0.146899626766175
"5","Inorganic ion transport and metabolism",38,88,0.0303298076020082,0.146899626766175
"11","Signal transduction mechanisms",20,-118,0.0326443615035945,0.146899626766175
"9","Replication, recombination and repair",60,45,0.167494007169592,0.505632534839307
"16","Intracellular trafficking, secretion, and vesicular transport",12,-98,0.168544178279769,0.505632534839307
"7","Cell wall/membrane/envelope biogenesis",25,-59,0.232990335265764,0.55501567267435
"10","Amino acid transport and metabolism",100,-30,0.246673632299711,0.55501567267435
"8","Coenzyme transport and metabolism",88,-28,0.303769585994287,0.576309373081875
"2","Posttranslational modification, protein turnover, chaperones",57,33,0.320171873934375,0.576309373081875
"13","Transcription",92,20,0.455760514768845,0.74578993325811
"1","Energy production and conversion",103,17,0.502478462904971,0.753717694357457
"18","Cell motility",2,-87,0.616047304757091,0.852988575817511
"3","Translation, ribosomal structure and biogenesis",110,10,0.691962124210925,0.889665588271189
"14","Secondary metabolites biosynthesis, transport and catabolism",11,-13,0.86228774348489,0.960889150651554
"17","Defense mechanisms",10,-13,0.865416896217937,0.960889150651554
"15","Nucleotide transport and metabolism",47,4,0.907805725188597,0.960889150651554
"12","Lipid transport and metabolism",28,2,0.960889150651554,0.960889150651554
