"","DC129","DC105","DC107","DC116","DC121","DC133","DC54","DC55"
"k141_15183_34_-",-0.945255903819825,-1.08888530986429,-1.15448884863352,0.869528519077451,0.145173794976901,0.118627201042486,0.442578612243566,1.61272193497724
"k141_181201_18_-",-1.17494946427756,-0.963635414076146,-1.04475112572166,1.21156928331833,-0.229615421844468,0.612156896227262,0.324922431278161,1.26430281509608
"k141_181201_19_Domain_of_unknown_function_DUF302",-0.792892902620364,-0.916001711564176,-1.31746404274361,0.548262627268151,0.0333098230036738,0.0939888031187411,0.574195474338701,1.77660192919888
"k141_181201_20_transcriptional_regulators",-0.358459581649366,-0.356620239588205,-0.753654161605904,1.33668112072091,-0.753654161605904,-0.157528694190022,-0.753654161605904,1.79688987952439
"k141_181201_23_-",-0.631333687791752,-0.571814405972742,-0.89131056536089,0.997659914641724,-0.271875925493924,0.401100116742886,-0.89131056536089,1.85888511859559
"k141_181201_25_transcriptional_regulators",-0.665849739021521,-0.778896385299216,-0.778896385299216,1.60353919828182,-0.403094314113977,0.465724716916755,-0.778896385299216,1.33636929383457
"k141_181885_20_COG1522_Transcriptional_regulators",-0.714067839559514,-1.02999595812704,-1.17372359950992,1.16979430949459,-0.406489038512131,0.705625766360826,0.0278521984823627,1.42100416137083
"k141_198002_28_-",-0.578765691904913,-1.22746175964863,-1.21335071289193,0.207315408601123,0.168077755204224,1.11983896816985,1.53646734385713,-0.0121213113868439
"k141_302809_9_Short-chain_dehydrogenase_reductase_",-0.621042122654103,-0.868941037784006,-1.71706701286397,1.30920387025958,0.393308510499111,0.0672578628208498,0.767692240252025,0.66958768947051
"k141_326599_17_Universal_stress_protein",-1.31461306091746,-0.529660236276164,-1.18023836311798,0.964280019486638,0.526244891295931,0.215943012439215,-0.200125751989334,1.51816948907915
"k141_326599_21_CBS_domain",-1.34546144425917,-0.42938263224985,-1.03094168615257,0.73186759818604,0.649699329327048,0.203704503938621,-0.438184715429786,1.65869904663967
"k141_331008_5_Nitroreductase_436308_Nmar_0360",-0.582322336187277,-0.741887738898013,-0.467226914886248,0.263902684284164,-0.623140484043974,0.262178825067994,-0.394091914600378,2.28258787926373
"k141_339108_19_-",1.32877962949048,1.17000072812637,1.00088230866207,-0.439862222915797,-0.664220301174778,-0.540106853422391,-0.599175967166983,-1.25629732159897
"k141_372642_30_-",-1.0593942111242,-0.726040454333389,-1.15177344815068,0.808735930847959,-0.102007982007583,0.335306943356278,0.0957544270673641,1.79941879434425
"k141_381857_3_PFAM_Integrase_core_domain",-0.669825702066712,-1.01566991978504,-1.24046447864109,0.283136925865248,-0.17026878644047,0.034550054727599,1.4617167010554,1.31682520528507
"k141_392539_6_COG0589_Universal_stress_protein_Usp",-1.26699647238839,-0.606961000663399,-1.43244267087836,0.573215396489655,0.603599606379754,0.284421128232399,0.423429020658331,1.42173499217001
"k141_440873_29_Belongs_to_the_small_heat_shock_pro",-0.954868121629181,-0.452789309047882,-0.941021066392946,1.22888905554611,-0.666413632727495,0.644085338145343,-0.423011109214448,1.5651288453205
"k141_440873_33_Stabilizes_TBP_binding_to_an_archae",-0.869416102505391,-1.29870604473526,-0.927031451146795,0.695479059287653,-0.32449903909189,0.710657427527292,0.469662847935312,1.54385330272908
"k141_447824_6_-",-1.03262531938899,-1.31390470137121,-1.10785391283192,0.499119313516872,0.198147908596852,0.601341175818061,1.02166890677137,1.13410662888897
"k141_76157_13_Belongs_to_the_P_II__protein_family",-1.00992211286758,-0.00535402184727014,-0.885168229344661,1.10203877372385,0.915937489117564,0.669233204410761,-1.48555977569997,0.698794672507306
"k141_92599_10_COG1522_Transcriptional_regulators",-0.237925407404852,-0.685418033093031,-0.991550710736862,1.20610886868211,0.626988542770885,0.387363146990637,-1.46538976124576,1.15982335403688
"k141_92599_11_COG1522_Transcriptional_regulators",-0.634426382477908,-0.564335793033209,-0.942658773080763,1.34914966973597,-0.344265461147115,0.591509247939007,-0.942658773080763,1.48768626514478
"k141_92599_12_COG1522_Transcriptional_regulators",-0.470907716086524,-0.534435923527892,-0.967978646386886,1.0312462011116,-0.478567199013015,0.707789540825892,-0.967978646386886,1.68083238946371
"k141_92599_3_Lrp_AsnC_ligand_binding_domain",-0.896954406620393,-1.16040129313193,-1.19963047665819,0.842426732539244,-0.214309735669682,0.494191379473463,0.810855846286592,1.32382195378089
"k141_92599_5_helix_turn_helix_ASNC_type",-0.670858658742971,-0.723005535887247,-0.803590697847909,0.317749115484228,-0.566034598578424,0.229156632678026,0.00127798912961805,2.21530575376468
"k141_93077_13_-",-1.85781866585952,-0.554425264584243,-0.86379315077552,0.918131613899217,0.670622764784664,0.604193878028224,0.187501810843543,0.895587013663636
"k141_96470_27_CBS_domain",-1.08547299376754,-0.581263014956078,-1.32299355891385,0.669663429890757,0.120850190853792,0.198745993052862,0.215991435508142,1.78447851833192
"k141_98648_15_PFAM_blue__type_1__copper_domain_pro",-0.388398375829781,-0.984733303622262,-1.25279129140512,1.09127546608752,0.12228593255664,0.637857210430579,-0.707584493292527,1.48208885507495
