"","DC129","DC105","DC107","DC116","DC121","DC133","DC54","DC55"
"k141_15183_34_-",-0.945255903819825,-1.08888530986429,-1.15448884863352,0.869528519077451,0.145173794976901,0.118627201042486,0.442578612243566,1.61272193497724
"k141_181201_18_-",-1.17494946427756,-0.963635414076146,-1.04475112572166,1.21156928331833,-0.229615421844468,0.612156896227262,0.324922431278161,1.26430281509608
"k141_181201_19_Domain_of_unknown_function_DUF302",-0.792892902620364,-0.916001711564176,-1.31746404274361,0.548262627268151,0.0333098230036738,0.0939888031187411,0.574195474338701,1.77660192919888
"k141_326599_17_Universal_stress_protein",-1.31461306091746,-0.529660236276164,-1.18023836311798,0.964280019486638,0.526244891295931,0.215943012439215,-0.200125751989334,1.51816948907915
"k141_326599_18_COG0589_Universal_stress_protein_Us",-0.870999140931303,0.0539147896814427,-1.03732410451886,0.851018909104222,0.714633878543963,0.651281303906684,-1.492292542003,1.12976690621685
"k141_326599_21_CBS_domain",-1.34546144425917,-0.42938263224985,-1.03094168615257,0.73186759818604,0.649699329327048,0.203704503938621,-0.438184715429786,1.65869904663967
"k141_372642_30_-",-1.0593942111242,-0.726040454333389,-1.15177344815068,0.808735930847959,-0.102007982007583,0.335306943356278,0.0957544270673641,1.79941879434425
"k141_392539_6_COG0589_Universal_stress_protein_Usp",-1.26699647238839,-0.606961000663399,-1.43244267087836,0.573215396489655,0.603599606379754,0.284421128232399,0.423429020658331,1.42173499217001
"k141_440873_29_Belongs_to_the_small_heat_shock_pro",-0.954868121629181,-0.452789309047882,-0.941021066392946,1.22888905554611,-0.666413632727495,0.644085338145343,-0.423011109214448,1.5651288453205
"k141_440873_33_Stabilizes_TBP_binding_to_an_archae",-0.869416102505391,-1.29870604473526,-0.927031451146795,0.695479059287653,-0.32449903909189,0.710657427527292,0.469662847935312,1.54385330272908
"k141_447824_6_-",-1.03262531938899,-1.31390470137121,-1.10785391283192,0.499119313516872,0.198147908596852,0.601341175818061,1.02166890677137,1.13410662888897
"k141_76157_13_Belongs_to_the_P_II__protein_family",-1.00992211286758,-0.00535402184727014,-0.885168229344661,1.10203877372385,0.915937489117564,0.669233204410761,-1.48555977569997,0.698794672507306
"k141_92599_11_COG1522_Transcriptional_regulators",-0.634426382477908,-0.564335793033209,-0.942658773080763,1.34914966973597,-0.344265461147115,0.591509247939007,-0.942658773080763,1.48768626514478
"k141_92599_3_Lrp_AsnC_ligand_binding_domain",-0.896954406620393,-1.16040129313193,-1.19963047665819,0.842426732539244,-0.214309735669682,0.494191379473463,0.810855846286592,1.32382195378089
"k141_92599_5_helix_turn_helix_ASNC_type",-0.670858658742971,-0.723005535887247,-0.803590697847909,0.317749115484228,-0.566034598578424,0.229156632678026,0.00127798912961805,2.21530575376468
"k141_93077_13_-",-1.85781866585952,-0.554425264584243,-0.86379315077552,0.918131613899217,0.670622764784664,0.604193878028224,0.187501810843543,0.895587013663636
"k141_96470_27_CBS_domain",-1.08547299376754,-0.581263014956078,-1.32299355891385,0.669663429890757,0.120850190853792,0.198745993052862,0.215991435508142,1.78447851833192
