isogroup82164_c0_g1	Defense mechanisms
isogroup28126_c0_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup7081_c0_g1	Translation, ribosomal structure and biogenesis
isogroup2698_c1_g4	Posttranslational modification, protein turnover, chaperones
isogroup14724_c0_g1	Posttranslational modification, protein turnover, chaperones
isogroup10377_c0_g1	Cytoskeleton
isogroup65781_c0_g1	Cell cycle control, cell division, chromosome partitioning
isogroup31077_c0_g1	Replication, recombination and repair
isogroup5661_c0_g1	Energy production and conversion
isogroup10182_c0_g2	Replication, recombination and repair
isogroup12501_c0_g1	Signal transduction mechanisms
isogroup12513_c2_g2	Cell cycle control, cell division, chromosome partitioning
isogroup50840_c0_g1	Posttranslational modification, protein turnover, chaperones
isogroup9011_c0_g3	Cytoskeleton
isogroup71352_c0_g1	Transcription
isogroup15738_c0_g1	Signal transduction mechanisms
isogroup3154_c0_g1	Cytoskeleton
isogroup3111_c1_g1	Cell wall/membrane/envelope biogenesis
isogroup3116_c0_g3	Intracellular trafficking, secretion, and vesicular transport
isogroup43821_c0_g1	Signal transduction mechanisms
isogroup96599_c0_g1	Defense mechanisms
isogroup24511_c0_g1	Signal transduction mechanisms
isogroup79310_c0_g2	Signal transduction mechanisms
isogroup7376_c0_g2	Carbohydrate transport and metabolism
isogroup43997_c0_g1	Nucleotide transport and metabolism
isogroup55952_c0_g1	Posttranslational modification, protein turnover, chaperones
isogroup15669_c0_g2	Transcription
isogroup94274_c0_g1	Carbohydrate transport and metabolism
isogroup5598_c0_g1	Signal transduction mechanisms
isogroup5504_c0_g1	Inorganic ion transport and metabolism
isogroup5541_c1_g2	Signal transduction mechanisms
isogroup12666_c0_g1	Signal transduction mechanisms
isogroup55431_c0_g1	Carbohydrate transport and metabolism
isogroup95810_c0_g1	Posttranslational modification, protein turnover, chaperones
isogroup35235_c0_g1	Cell cycle control, cell division, chromosome partitioning
isogroup42769_c0_g1	Replication, recombination and repair
isogroup27104_c0_g1	Posttranslational modification, protein turnover, chaperones
isogroup27123_c1_g1	Cytoskeleton
isogroup90035_c0_g1	Translation, ribosomal structure and biogenesis
isogroup11221_c1_g1	Carbohydrate transport and metabolism
isogroup68536_c0_g1	Signal transduction mechanisms
isogroup59100_c0_g1	Chromatin structure and dynamics
isogroup3940_c0_g1	Replication, recombination and repair
isogroup3939_c0_g1	Posttranslational modification, protein turnover, chaperones
isogroup82502_c0_g1	Signal transduction mechanisms
isogroup33653_c0_g1	Signal transduction mechanisms
isogroup33698_c0_g1	Transcription
isogroup13545_c0_g1	Transcription
isogroup13509_c0_g1	Posttranslational modification, protein turnover, chaperones
isogroup3539_c0_g1	Lipid transport and metabolism
isogroup3596_c0_g1	Signal transduction mechanisms
isogroup3529_c0_g2	Carbohydrate transport and metabolism
isogroup81758_c0_g1	Cell cycle control, cell division, chromosome partitioning
isogroup3004_c0_g1	Carbohydrate transport and metabolism
isogroup3073_c0_g2	Translation, ribosomal structure and biogenesis
isogroup3085_c0_g1	Amino acid transport and metabolism
isogroup39043_c0_g1	Posttranslational modification, protein turnover, chaperones
isogroup30952_c0_g2	Energy production and conversion
isogroup30952_c0_g3	Energy production and conversion
isogroup30902_c0_g1	RNA processing and modification
isogroup30936_c0_g1	Energy production and conversion
isogroup96450_c0_g1	Transcription
isogroup23247_c0_g1	Defense mechanisms
isogroup27875_c0_g1	Cell cycle control, cell division, chromosome partitioning
isogroup27875_c0_g3	Cell cycle control, cell division, chromosome partitioning
isogroup27831_c0_g1	Transcription
isogroup95244_c0_g1	Energy production and conversion
isogroup4195_c0_g1	Defense mechanisms
isogroup104_c0_g1	Posttranslational modification, protein turnover, chaperones
isogroup40446_c0_g1	Posttranslational modification, protein turnover, chaperones
isogroup2405_c0_g3	Secondary metabolites biosynthesis, transport and catabolism
isogroup2482_c0_g2	Transcription
isogroup2448_c0_g3	Signal transduction mechanisms
isogroup2478_c0_g1	Cell cycle control, cell division, chromosome partitioning
isogroup78025_c0_g1	Carbohydrate transport and metabolism
isogroup78022_c0_g1	Carbohydrate transport and metabolism
isogroup19083_c0_g1	Signal transduction mechanisms
isogroup11571_c0_g2	Cell cycle control, cell division, chromosome partitioning
isogroup66520_c0_g1	Secondary metabolites biosynthesis, transport and catabolism
isogroup34591_c0_g1	Replication, recombination and repair
isogroup89790_c0_g1	Transcription
isogroup12910_c0_g1	Amino acid transport and metabolism
isogroup95154_c0_g1	Posttranslational modification, protein turnover, chaperones
