k141_556181_3	Secondary metabolites biosynthesis, transport and catabolism
k141_1111869_7	Cell wall/membrane/envelope biogenesis
k141_186189_5	Transcription
k141_1112183_1	Nucleotide transport and metabolism
k141_742623_4	Cell wall/membrane/envelope biogenesis
k141_928003_1	Coenzyme transport and metabolism
k141_928003_2	Coenzyme transport and metabolism
k141_928003_4	Coenzyme transport and metabolism
k141_928003_7	Posttranslational modification, protein turnover, chaperones
k141_928003_10	Coenzyme transport and metabolism
k141_928003_11	Coenzyme transport and metabolism
k141_928003_13	Coenzyme transport and metabolism
k141_928003_16	Translation, ribosomal structure and biogenesis
k141_928003_18	Replication, recombination and repair
k141_928036_1	Defense mechanisms
k141_1113050_9	Translation, ribosomal structure and biogenesis
k141_372522_2	Inorganic ion transport and metabolism
k141_372529_3	Amino acid transport and metabolism
k141_187578_2	Amino acid transport and metabolism
k141_743581_3	Translation, ribosomal structure and biogenesis
k141_743581_4	Translation, ribosomal structure and biogenesis
k141_743581_5	Translation, ribosomal structure and biogenesis
k141_743581_6	Nucleotide transport and metabolism
k141_743581_7	Lipid transport and metabolism
k141_743581_9	Intracellular trafficking, secretion, and vesicular transport
k141_743581_10	Coenzyme transport and metabolism
k141_743581_11	Translation, ribosomal structure and biogenesis
k141_743581_12	Translation, ribosomal structure and biogenesis
k141_743581_14	Translation, ribosomal structure and biogenesis
k141_743581_15	Translation, ribosomal structure and biogenesis
k141_1113411_1	Replication, recombination and repair
k141_928588_2	Replication, recombination and repair
k141_373007_3	Energy production and conversion
k141_373007_44	Inorganic ion transport and metabolism
k141_373007_53	Posttranslational modification, protein turnover, chaperones
k141_928939_1	Replication, recombination and repair
k141_928939_2	Amino acid transport and metabolism
k141_188110_5	Lipid transport and metabolism
k141_744041_2	Posttranslational modification, protein turnover, chaperones
k141_744041_3	Inorganic ion transport and metabolism
k141_744041_4	Cell wall/membrane/envelope biogenesis
k141_744041_5	Cell wall/membrane/envelope biogenesis
k141_188489_1	Cell wall/membrane/envelope biogenesis
k141_929555_1	Posttranslational modification, protein turnover, chaperones
k141_2524_2	Transcription
k141_2524_3	Translation, ribosomal structure and biogenesis
k141_744772_1	Translation, ribosomal structure and biogenesis
k141_744772_2	Translation, ribosomal structure and biogenesis
k141_744772_3	Translation, ribosomal structure and biogenesis
k141_744772_4	Translation, ribosomal structure and biogenesis
k141_744772_5	Translation, ribosomal structure and biogenesis
k141_744772_6	Transcription
k141_744772_7	Transcription
k141_744772_8	Secondary metabolites biosynthesis, transport and catabolism
k141_744772_10	Carbohydrate transport and metabolism
k141_744772_13	Secondary metabolites biosynthesis, transport and catabolism
k141_744772_19	Energy production and conversion
k141_744772_20	Energy production and conversion
k141_744772_26	Defense mechanisms
k141_744772_31	Lipid transport and metabolism
k141_744772_34	Lipid transport and metabolism
k141_744772_39	Translation, ribosomal structure and biogenesis
k141_744772_45	Nucleotide transport and metabolism
k141_744772_52	Carbohydrate transport and metabolism
k141_744772_53	Carbohydrate transport and metabolism
k141_929971_2	Cell cycle control, cell division, chromosome partitioning
k141_929971_4	Intracellular trafficking, secretion, and vesicular transport
k141_929971_5	Intracellular trafficking, secretion, and vesicular transport
k141_929971_6	Intracellular trafficking, secretion, and vesicular transport
k141_929983_1	Signal transduction mechanisms
k141_929983_2	Cell wall/membrane/envelope biogenesis
k141_929987_2	Signal transduction mechanisms
k141_189253_3	Cell wall/membrane/envelope biogenesis
k141_189253_8	Transcription
k141_745349_5	Translation, ribosomal structure and biogenesis
k141_745349_8	Energy production and conversion
k141_745360_7	Cell cycle control, cell division, chromosome partitioning
k141_745360_8	Translation, ribosomal structure and biogenesis
k141_745360_9	Cell cycle control, cell division, chromosome partitioning
k141_745360_10	Transcription
k141_745360_11	Cell wall/membrane/envelope biogenesis
k141_374337_6	Replication, recombination and repair
k141_374337_8	Cell cycle control, cell division, chromosome partitioning
k141_3287_3	Translation, ribosomal structure and biogenesis
k141_745763_1	Nucleotide transport and metabolism
k141_745763_2	Translation, ribosomal structure and biogenesis
k141_745763_3	Coenzyme transport and metabolism
k141_745763_10	Inorganic ion transport and metabolism
k141_745774_8	Cell wall/membrane/envelope biogenesis
k141_745774_17	Cell wall/membrane/envelope biogenesis
k141_560524_6	Signal transduction mechanisms
k141_560524_7	Signal transduction mechanisms
k141_560524_8	Intracellular trafficking, secretion, and vesicular transport
k141_560524_9	Signal transduction mechanisms
k141_189889_1	Energy production and conversion
k141_930857_3	Energy production and conversion
k141_930857_4	Energy production and conversion
k141_560885_4	Cell wall/membrane/envelope biogenesis
k141_746368_1	Amino acid transport and metabolism
k141_746710_2	Energy production and conversion
k141_375557_1	Inorganic ion transport and metabolism
k141_375557_2	Coenzyme transport and metabolism
k141_375557_3	Coenzyme transport and metabolism
k141_375557_5	Inorganic ion transport and metabolism
k141_375557_7	Cell wall/membrane/envelope biogenesis
k141_931386_1	Cell wall/membrane/envelope biogenesis
k141_931386_2	Cell wall/membrane/envelope biogenesis
k141_931386_5	Cell wall/membrane/envelope biogenesis
k141_3950_5	Amino acid transport and metabolism
k141_3950_8	Amino acid transport and metabolism
k141_3950_10	Transcription
k141_3950_12	Energy production and conversion
k141_3950_15	Carbohydrate transport and metabolism
k141_3950_17	Inorganic ion transport and metabolism
k141_3950_19	Carbohydrate transport and metabolism
k141_3950_30	Energy production and conversion
k141_3950_31	Posttranslational modification, protein turnover, chaperones
k141_561456_1	Cell wall/membrane/envelope biogenesis
k141_561456_2	Coenzyme transport and metabolism
k141_561456_6	Coenzyme transport and metabolism
k141_561456_8	Translation, ribosomal structure and biogenesis
k141_561456_9	Cell wall/membrane/envelope biogenesis
k141_561456_10	Nucleotide transport and metabolism
k141_561456_11	Energy production and conversion
k141_561456_16	Transcription
k141_561456_17	Transcription
k141_561456_18	Translation, ribosomal structure and biogenesis
k141_561456_19	Translation, ribosomal structure and biogenesis
k141_561456_20	Translation, ribosomal structure and biogenesis
k141_561456_21	Translation, ribosomal structure and biogenesis
k141_561456_22	Transcription
k141_561456_23	Intracellular trafficking, secretion, and vesicular transport
k141_561456_24	Translation, ribosomal structure and biogenesis
k141_375789_1	Transcription
k141_375789_2	Coenzyme transport and metabolism
k141_375789_4	Amino acid transport and metabolism
k141_375789_5	Energy production and conversion
k141_375789_6	Secondary metabolites biosynthesis, transport and catabolism
k141_375789_8	Posttranslational modification, protein turnover, chaperones
k141_375789_15	Amino acid transport and metabolism
k141_375789_17	Inorganic ion transport and metabolism
k141_375789_19	Inorganic ion transport and metabolism
k141_375789_23	Amino acid transport and metabolism
k141_375789_25	Posttranslational modification, protein turnover, chaperones
k141_375789_27	Coenzyme transport and metabolism
k141_375789_30	Coenzyme transport and metabolism
k141_375789_31	Posttranslational modification, protein turnover, chaperones
k141_375789_34	Coenzyme transport and metabolism
k141_375789_35	Translation, ribosomal structure and biogenesis
k141_375789_36	Translation, ribosomal structure and biogenesis
