k141_290921_10	-
k141_290921_13	PFAM transposase, IS4 family protein
k141_436658_3	-
k141_436658_4	-
k141_436658_5	-
k141_436658_6	-
k141_436658_7	-
k141_436658_8	PFAM Alcohol dehydrogenase
k141_436658_10	COG3547 Transposase and inactivated derivatives
k141_436658_14	protein conserved in archaea
k141_436658_15	PFAM blue (type 1) copper domain protein
k141_436658_16	-
k141_436658_17	-
k141_436658_18	-
k141_436658_19	ATPase associated with various cellular activities
k141_436658_20	protein (some members contain a von Willebrand factor type A (vWA) domain)
k141_436658_21	von Willebrand factor, type A
k141_436658_22	-
k141_436658_23	Winged helix-turn-helix DNA-binding
k141_436658_24	-
k141_436658_25	-
k141_436658_26	-
k141_436658_27	-
k141_436658_28	serine-type endopeptidase activity
k141_436658_29	PFAM blue (type 1) copper domain protein
k141_218984_3	Rossmann fold nucleotide-binding protein
k141_218984_5	-
k141_218984_6	Zinc finger, C2H2 type
k141_218984_7	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
k141_218984_8	Involved in the binding of tRNA to the ribosomes
k141_218984_9	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis
k141_218984_10	Catalyzes two subsequent steps in gluconeogenesis the aldol condensation of dihydroxyacetone phosphate (DHAP) and glyceraldehyde-3-phosphate (GA3P) to fructose-1,6-bisphosphate (FBP), and the dephosphorylation of FBP to fructose-6-phosphate (F6P)
k141_218984_11	-
k141_218984_12	DNA ligase that seals nicks in double-stranded DNA during DNA replication, DNA recombination and DNA repair
k141_218984_13	Protein of unknown function DUF47
k141_218984_14	tRNA intron endonuclease, N-terminal domain
k141_218984_15	-
k141_218984_16	-
k141_436805_2	Trypsin-like peptidase domain
k141_436805_3	Archaeal PaREP1/PaREP8 family
k141_436805_6	Major Intrinsic Protein
k141_436805_7	AhpC/TSA antioxidant enzyme
k141_436805_8	Essential cell division protein that forms a contractile ring structure (Z ring) at the future cell division site. The regulation of the ring assembly controls the timing and the location of cell division. One of the functions of the FtsZ ring is to recruit other cell division proteins to the septum to produce a new cell wall between the dividing cells. Binds GTP and shows GTPase activity
k141_219705_2	-
k141_219705_3	Belongs to the eukaryotic ribosomal protein eS31 family
k141_219705_4	Belongs to the eukaryotic ribosomal protein eS24 family
k141_219705_5	Domain of unknown function (DUF309)
k141_219705_6	phosphoglycerate mutase
k141_219705_7	Galactose-1-phosphate uridyl transferase, N-terminal domain
k141_219705_8	-
k141_219705_9	Acetyltransferase (GNAT) domain
k141_219705_10	Nucleotidyl transferase
k141_219705_11	Phosphomethylpyrimidine kinase
k141_219705_13	Thiamine biosynthesis protein ThiC
k141_219705_14	NUDIX domain
k141_219705_15	Prephenate dehydrogenase
k141_219705_16	Chorismate mutase type II
k141_219705_17	Catalyzes the anti-1,4-elimination of the C-3 phosphate and the C-6 proR hydrogen from 5-enolpyruvylshikimate-3-phosphate (EPSP) to yield chorismate, which is the branch point compound that serves as the starting substrate for the three terminal pathways of aromatic amino acid biosynthesis. This reaction introduces a second double bond into the aromatic ring system
k141_219705_18	Catalyzes the transfer of the enolpyruvyl moiety of phosphoenolpyruvate (PEP) to the 5-hydroxyl of shikimate-3- phosphate (S3P) to produce enolpyruvyl shikimate-3-phosphate and inorganic phosphate
k141_219705_19	GHMP kinases N terminal domain
k141_219705_20	Involved in the biosynthesis of the chorismate, which leads to the biosynthesis of aromatic amino acids. Catalyzes the reversible NADPH linked reduction of 3-dehydroshikimate (DHSA) to yield shikimate (SA)
k141_219705_21	Involved in the third step of the chorismate pathway, which leads to the biosynthesis of aromatic amino acids. Catalyzes the cis-dehydration of 3-dehydroquinate (DHQ) and introduces the first double bond of the aromatic ring to yield 3- dehydroshikimate
k141_219705_22	Catalyzes the oxidative deamination and cyclization of 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonic acid (ADH) to yield 3- dehydroquinate (DHQ), which is fed into the canonical shikimic pathway of aromatic amino acid biosynthesis
k141_219705_23	Catalyzes a transaldol reaction between 6-deoxy-5- ketofructose 1-phosphate (DKFP) and L-aspartate semialdehyde (ASA) with an elimination of hydroxypyruvaldehyde phosphate to yield 2- amino-3,7-dideoxy-D-threo-hept-6-ulosonate (ADH). Plays a key role in an alternative pathway of the biosynthesis of 3-dehydroquinate (DHQ), which is involved in the canonical pathway for the biosynthesis of aromatic amino acids
k141_219705_24	Radical SAM enzyme that catalyzes the cyclization of dehypoxanthine futalosine (DHFL) into cyclic dehypoxanthine futalosine (CDHFL), a step in the biosynthesis of menaquinone (MK, vitamin K2)
k141_219705_25	UbiD family decarboxylase
k141_219705_26	-
k141_219705_30	Essential cell division protein that forms a contractile ring structure (Z ring) at the future cell division site. The regulation of the ring assembly controls the timing and the location of cell division. One of the functions of the FtsZ ring is to recruit other cell division proteins to the septum to produce a new cell wall between the dividing cells. Binds GTP and shows GTPase activity
k141_437523_6	COG0589 Universal stress protein UspA and related nucleotide-binding proteins
k141_437523_7	RNA secondary structure unwinding
k141_437523_8	PFAM SPFH domain Band 7 family
k141_437523_9	-
k141_1767_2	-
k141_1767_3	Domain of unknown function (DUF2024)
k141_1767_4	Cyclophilin-like
k141_1767_5	metal-dependent protease of the PAD1 JAB1 superfamily
k141_1767_6	PFAM blue (type 1) copper domain protein
