#query	KEGG_ko
k141_185412_2	ko:K01610
k141_147_1	ko:K00241
k141_147_2	ko:K00242
k141_147_3	ko:K00239
k141_185589_2	ko:K04066
k141_926341_1	ko:K22083
k141_926341_2	ko:K22082
k141_926341_3	ko:K22081
k141_300_1	ko:K03688
k141_300_2	ko:K01749
k141_556230_2	ko:K15268
k141_741515_1	ko:K07050
k141_371187_3	ko:K01710
k141_407_1	ko:K00228
k141_407_2	ko:K03750
k141_407_3	ko:K03592
k141_1111838_1	ko:K03593
k141_1111838_2	ko:K06857
k141_1111838_3	ko:K05773,ko:K06857
k141_1111838_4	ko:K05772
k141_1111838_6	ko:K00058
k141_741719_1	ko:K00383
k141_741719_2	ko:K02302,ko:K02303
k141_741719_3	ko:K01875
k141_741719_5	ko:K03466
k141_741719_6	ko:K00684
k141_741719_7	ko:K21420
k141_186029_1	ko:K12256
k141_186029_2	ko:K01714
k141_186029_3	ko:K02053
k141_186029_4	ko:K02054,ko:K11071
k141_186029_5	ko:K02052
k141_459_1	ko:K02517
k141_459_2	ko:K02167
k141_186085_1	ko:K01756
k141_371393_1	ko:K01469
k141_485_1	ko:K02448
k141_485_2	ko:K06942
k141_485_3	ko:K01056
k141_485_4	ko:K02897
k141_485_5	ko:K00948
k141_485_6	ko:K02001
k141_485_7	ko:K02000
k141_485_8	ko:K02002
k141_485_9	ko:K01479,ko:K01480
k141_633_1	ko:K07391
k141_371743_1	ko:K08218
k141_186483_1	ko:K01392
k141_186483_2	ko:K02911
k141_186483_4	ko:K00645
k141_186483_5	ko:K00059
k141_186483_6	ko:K02078
k141_186483_7	ko:K09458
k141_186483_8	ko:K07082
k141_186483_9	ko:K00943
k141_186483_10	ko:K02341
k141_186483_11	ko:K18009
k141_186483_12	ko:K00602
k141_186483_13	ko:K06134
k141_186483_14	ko:K01104
k141_799_1	ko:K01883
k141_799_2	ko:K03269
k141_186493_2	ko:K09780
k141_186493_3	ko:K06190
k141_186493_5	ko:K01867
k141_186493_6	ko:K05896
k141_186493_7	ko:K06024
k141_186493_8	ko:K06178
k141_186493_9	ko:K01803
k141_186493_10	ko:K03075
k141_1112438_1	ko:K04079
k141_1112438_2	ko:K03545
k141_186506_1	ko:K01998
k141_927598_1	ko:K07493
k141_186642_2	ko:K01160
k141_742599_2	ko:K03438
k141_927732_1	ko:K01469
k141_1112639_4	ko:K11836
k141_1112639_5	ko:K11836
k141_372162_1	ko:K01966
k141_372162_3	ko:K01847
k141_742812_2	ko:K00721
k141_1187_3	ko:K09760
k141_1112874_1	ko:K00344
k141_1112880_1	ko:K03576
k141_1112880_6	ko:K03327
k141_1112880_7	ko:K07497
k141_1112891_1	ko:K01995
k141_1112891_2	ko:K01996
k141_927990_1	ko:K00568
k141_927990_2	ko:K12960
k141_1261_2	ko:K03177
k141_187273_1	ko:K00373
k141_187273_2	ko:K00374
k141_187273_3	ko:K01420
k141_187273_4	ko:K01739,ko:K01761
k141_1112967_7	ko:K15255
k141_743133_1	ko:K02341
k141_743133_2	ko:K00943
k141_743133_3	ko:K07082
k141_928074_2	ko:K00344
k141_928074_3	ko:K03519
k141_928074_4	ko:K03520
k141_928074_5	ko:K03518
k141_928074_6	ko:K09386
k141_928074_8	ko:K07749
k141_928074_9	ko:K06966
k141_928074_10	ko:K07133
k141_372458_1	ko:K03210
k141_372465_1	ko:K02338
k141_372465_2	ko:K02470
k141_557803_1	ko:K07735
k141_557803_2	ko:K07447
k141_557803_3	ko:K02825
k141_557803_4	ko:K00609
k141_743194_1	ko:K02523
k141_743250_1	ko:K01908
k141_1389_1	ko:K00370
k141_1389_2	ko:K00371
k141_1389_3	ko:K00373
