isogroup1909_c0_g3	K20818
isogroup16046_c0_g1	K01897
isogroup31146_c0_g3	K04615
isogroup28828_c0_g1	K09848
isogroup16280_c0_g1	K10089
isogroup15967_c0_g1	K09493
isogroup12899_c0_g1	K20177
isogroup13795_c0_g1	K00418
isogroup4645_c0_g1	K04437
isogroup1013_c0_g2	K03781
isogroup6162_c0_g1	K08738
isogroup56751_c0_g1	K10407
isogroup7508_c0_g1	K24032
isogroup121278_c0_g1	K06675
isogroup8449_c0_g1	K19613
isogroup31691_c0_g1	K02923
isogroup151358_c0_g1	K13238
isogroup39060_c0_g1	K03635
isogroup12793_c0_g5	K22614
isogroup35547_c0_g2	K00357
isogroup32245_c0_g1	K12804
isogroup65322_c0_g1	K15272
isogroup43668_c0_g1	K04043
isogroup48809_c0_g1	K11997
isogroup11084_c0_g1	K12076
isogroup7630_c0_g1	K00734
isogroup43234_c0_g1	K20656
isogroup73631_c0_g1	K22987
isogroup64533_c0_g1	K24610
isogroup21669_c0_g1	K00106
isogroup30985_c1_g1	K23538
isogroup7114_c0_g1	K09848
isogroup28481_c0_g1	K16772
isogroup148623_c0_g1	K18598
isogroup172780_c0_g1	K17512
isogroup1454_c1_g1	K07393
isogroup54760_c0_g1	K24736
isogroup34439_c0_g1	K14403
isogroup84882_c0_g1	K08852
isogroup148296_c0_g1	K04459
isogroup1845_c2_g1	K18469
isogroup3188_c0_g2	K10646
isogroup10105_c0_g1	K18441
isogroup51799_c0_g1	K14209
isogroup27580_c0_g2	K11188
isogroup48172_c0_g2	K04527
isogroup143712_c0_g1	K18342
isogroup25960_c0_g1	K23541
isogroup37267_c0_g1	K08339
isogroup13686_c2_g1	K03781
isogroup15626_c0_g2	K08637
isogroup127789_c0_g1	K24469
isogroup10404_c0_g1	K17341
isogroup6077_c0_g1	K00565
isogroup112756_c0_g1	K20196
isogroup76295_c0_g1	K04441
isogroup80911_c0_g1	K09487
isogroup677_c0_g2	K05115
isogroup169776_c0_g1	K08568
isogroup152756_c0_g1	K08799
isogroup95362_c0_g1	K05673
isogroup40469_c0_g1	K08798
isogroup31064_c0_g1	K15187
isogroup95793_c0_g1	K12189
isogroup12826_c1_g1	K06106
isogroup2587_c0_g2	K09579
isogroup17978_c1_g1	K04353
isogroup24699_c0_g2	K12309
isogroup25578_c0_g1	K08803
isogroup1489_c1_g1	K00615
isogroup40787_c0_g1	K19947
isogroup96067_c0_g1	K22804
isogroup13225_c0_g1	K21289
isogroup97033_c0_g1	K15261
isogroup41917_c0_g1	K18334
isogroup3888_c0_g1	K17570
isogroup70435_c0_g2	K16669
isogroup113638_c0_g1	K17263
isogroup149632_c0_g1	K24426
isogroup34100_c0_g1	K17285
isogroup21591_c0_g1	K07936
isogroup23667_c0_g1	K09528
isogroup111509_c0_g1	K14753
isogroup16025_c1_g1	K04468
isogroup47394_c0_g2	K05757
isogroup49832_c0_g1	K00643
isogroup124365_c0_g1	K12811
isogroup43883_c0_g1	K07952
isogroup27104_c0_g1	K19371
isogroup3580_c0_g1	K15009
isogroup150070_c0_g1	K00231
isogroup7273_c0_g1	K18032
isogroup29303_c0_g1	K06767
isogroup43884_c0_g2	K01620
isogroup143685_c0_g1	K02876
isogroup121619_c0_g1	K05667
isogroup93605_c0_g1	K23732
isogroup26505_c0_g1	K00128
isogroup39237_c0_g1	K01689
isogroup176349_c0_g1	K12856
isogroup29875_c0_g1	K04441
isogroup3973_c1_g1	K11348
isogroup69965_c0_g1	K15127
isogroup1104_c0_g1	K07375
isogroup35146_c0_g1	K09498
isogroup153084_c0_g1	K19986
isogroup1209_c0_g2	K01164
isogroup21074_c1_g1	K05863
isogroup13454_c0_g1	K05665
isogroup5148_c0_g1	K19023
isogroup113375_c0_g1	K17823
isogroup21764_c0_g1	K15175
isogroup7796_c0_g1	K16745
isogroup92845_c0_g1	K15258
isogroup19628_c0_g1	K23901
isogroup101419_c0_g1	K18464
isogroup18076_c0_g2	K13912
isogroup7670_c0_g1	K01557
isogroup91744_c0_g1	K01409
isogroup25582_c0_g1	K04794
isogroup5724_c0_g1	K03514
isogroup104178_c0_g1	K04482
isogroup5656_c0_g1	K14546
isogroup9051_c0_g1	K01915
isogroup1695_c0_g2	K01939
isogroup435_c0_g1	K25174
isogroup22559_c0_g1	K18081
isogroup8075_c0_g1	K16910
isogroup5123_c0_g1	K00943
isogroup27495_c0_g1	K02880
isogroup3042_c0_g4	K02930
isogroup50827_c0_g1	K03008
isogroup22871_c0_g1	K02270
isogroup165026_c0_g1	K10777
isogroup1583_c0_g1	K17341
isogroup40795_c0_g1	K13912
isogroup3692_c0_g2	K16669
isogroup57892_c0_g1	K04560
isogroup55630_c0_g1	K12855
isogroup37982_c0_g1	K04427
isogroup149774_c0_g1	K17592
isogroup7952_c0_g1	K11153
isogroup132517_c0_g1	K15719
isogroup9603_c0_g1	K05015
isogroup13261_c0_g4	K24418
isogroup51341_c0_g1	K01907
isogroup14111_c0_g1	K08790
isogroup141524_c0_g1	K06114
isogroup7252_c0_g1	K12035
isogroup13603_c0_g1	K18628
isogroup152616_c0_g1	K03522
isogroup17908_c0_g1	K23424
isogroup43437_c0_g1	K10268
isogroup58913_c0_g1	K15172
isogroup58473_c0_g1	K02929
isogroup77233_c0_g1	K15501
isogroup4169_c0_g3	K22558
isogroup136772_c0_g1	K11984
isogroup8490_c0_g3	K14638
isogroup23186_c0_g1	K04564
isogroup7996_c0_g1	K00382
isogroup76_c0_g1	K13510
isogroup2477_c0_g1	K03327
isogroup121350_c0_g1	K20044
isogroup65997_c0_g1	K11979
isogroup1397_c0_g1	K10358
isogroup23593_c0_g1	K09207
isogroup167862_c0_g1	K21853
isogroup29553_c1_g1	K21954
isogroup6360_c0_g1	K03173
isogroup34468_c0_g1	K02355
isogroup31396_c0_g1	K22614
isogroup7562_c0_g1	K23680
isogroup1955_c0_g1	K03966
isogroup69295_c0_g1	K01225
isogroup154860_c0_g1	K20639
isogroup53197_c0_g1	K17402
isogroup16029_c0_g1	K12474
isogroup33296_c0_g1	K06237
isogroup52264_c0_g1	K12181
isogroup15379_c0_g2	K10390
isogroup88834_c0_g1	K20804
isogroup137053_c0_g1	K02981
isogroup27515_c1_g1	K13886
isogroup11112_c0_g1	K04097
isogroup14323_c0_g1	K05728
isogroup7834_c0_g1	K14960
isogroup14912_c2_g1	K04437
isogroup87686_c0_g1	K14455
isogroup16449_c0_g1	K02985
isogroup8502_c0_g1	K06777
isogroup27229_c0_g1	K10687
isogroup140134_c0_g1	K08794
isogroup170266_c0_g1	K09522
isogroup6734_c0_g1	K18400
isogroup25024_c2_g1	K18085
isogroup126721_c0_g1	K24723
isogroup27773_c0_g1	K23354
isogroup74117_c0_g3	K03257
isogroup12393_c0_g1	K14440
isogroup1524_c0_g3	K12035
isogroup19683_c2_g1	K10251
isogroup28483_c0_g1	K17577
isogroup1634_c0_g3	K10364
isogroup87657_c0_g1	K14007
isogroup44188_c0_g1	K14293
isogroup5693_c0_g3	K05906
isogroup64179_c0_g1	K20520
isogroup73592_c0_g1	K09200
isogroup55330_c0_g1	K11290
isogroup4868_c0_g1	K15683
isogroup8164_c0_g1	K10143
isogroup5751_c0_g1	K16719
