isogroup66386_c0_g1	 Ragulator complex protein LAMTOR5
isogroup82164_c0_g1	C9orf156 Chromosome 9 open reading frame 156
isogroup28126_c0_g1	COG2 Golgi organization
isogroup73628_c0_g1	SIVA1 Apoptosis regulatory protein Siva
isogroup36239_c0_g1	 Oligosaccharyltransferase subunit 5
isogroup4875_c0_g1	C9orf85 Uncharacterized conserved protein (DUF2039)
isogroup4875_c0_g2	C9orf85 Uncharacterized conserved protein (DUF2039)
isogroup4844_c0_g1	OXNAD1 Oxidoreductase NAD-binding
isogroup7081_c0_g1	RPL36 ribosomal protein
isogroup2698_c1_g4	 thiol-dependent ubiquitin-specific protease activity
isogroup2682_c0_g1	ZUFSP Zinc finger with UFM1-specific peptidase domain
isogroup14724_c0_g1	FucT6 Catalyzes the addition of fucose in alpha 1-6 linkage to the first GlcNAc residue, next to the peptide chains in N-glycans
isogroup10377_c0_g1	Prm Myosin tail
isogroup10017_c0_g1	 TMEM214, C-terminal, caspase 4 activator
isogroup65781_c0_g1	 Electron transfer DM13
isogroup31077_c0_g1	XRCC1 positive regulation of DNA ligase activity
isogroup5661_c0_g1	AKR7A2 Aldo/keto reductase family
isogroup5623_c0_g1	LRRC71 Leucine rich repeat containing 71
isogroup10182_c0_g2	ZSWIM8 zinc finger
isogroup10191_c0_g1	SDAD1 SDA1 domain containing 1
isogroup12501_c0_g1	LRP2 lipoprotein receptor-related protein
isogroup12513_c2_g2	 Electron transfer DM13
isogroup50840_c0_g1	 Hsp20/alpha crystallin family
isogroup50881_c0_g1	 carbohydrate binding
isogroup9011_c0_g3	KIF25 Microtubule binding
isogroup9088_c0_g1	 cobalamin transport
isogroup43609_c4_g1	C16orf89 Chromosome 16 open reading frame
isogroup71352_c0_g1	DGCR14 DiGeorge syndrome critical region gene 14
isogroup15738_c0_g1	Ndg Nidogen 1
isogroup15735_c0_g1	 Possible lysine decarboxylase
isogroup3184_c0_g1	HSPB11 anaphase-promoting complex-dependent catabolic process
isogroup3154_c0_g1	MAP1A Microtubule-associated protein 1A
isogroup3111_c1_g1	PIGL Phosphatidylinositol glycan anchor biosynthesis, class L
isogroup3116_c0_g3	SYS1 Protein SYS1 homolog
isogroup11993_c0_g1	DSE Dermatan sulfate
isogroup43821_c0_g1	 GAF domain
isogroup96569_c0_g1	PNMT phenylethanolamine N-methyltransferase activity
isogroup96599_c0_g1	CDKN3 protein tyrosine/serine/threonine phosphatase activity
isogroup24511_c0_g1	F5 coagulation factor V
isogroup28811_c0_g1	TMEM258 Transmembrane protein 258
isogroup79310_c0_g2	IGDCC3 Immunoglobulin superfamily, DCC subclass, member
isogroup7358_c0_g1	MCMBP Mini-chromosome maintenance
isogroup7396_c0_g1	BORA regulation of mitotic spindle organization
isogroup7353_c0_g1	TMEM43 Transmembrane protein 43
isogroup7376_c0_g2	HK2 Belongs to the hexokinase family
isogroup43997_c0_g1	CMPK2 UMP-CMP kinase 2, mitochondrial
isogroup85264_c0_g1	OXNAD1 oxidoreductase NAD-binding
isogroup55952_c0_g1	FUT8 glycoprotein 6-alpha-L-fucosyltransferase activity
isogroup24898_c0_g1	CBP Calcium ion binding
isogroup15689_c0_g2	 retina layer formation
isogroup15669_c0_g2	HMGXB3 HMG domain-containing protein 3
isogroup2849_c0_g1	CENPN kinetochore assembly
isogroup2847_c0_g2	 Si dkey-14d8.7
isogroup94274_c0_g1	EDEM3 mannose trimming involved in glycoprotein ERAD pathway
isogroup9549_c0_g1	ZNF706 Zinc finger protein
isogroup9572_c0_g1	 NAD/NADP octopine/nopaline dehydrogenase, alpha-helical domain
isogroup5598_c0_g1	NECAB1 calcium ion binding
isogroup5511_c0_g2	FPGT fucose-1-phosphate guanylyltransferase activity
isogroup5555_c1_g1	CENPK centromere protein K
isogroup5504_c0_g1	 Von Willebrand factor A domain-containing protein 7-like
isogroup5541_c1_g2	OSBPL9 Oxysterol-binding protein-related protein 9 isoform X1
isogroup12666_c0_g1	NID2 nidogen 2
isogroup55431_c0_g1	Edem2 Belongs to the glycosyl hydrolase 47 family
isogroup95810_c0_g1	RP2 Acts as a GTPase-activating protein (GAP) for tubulin in concert with tubulin-specific chaperone C, but does not enhance tubulin heterodimerization
isogroup35235_c0_g1	 Electron transfer DM13
isogroup42769_c0_g1	THUMPD3 tRNA (guanine) methyltransferase activity
isogroup87311_c0_g1	CENPI centromere complex assembly
isogroup27104_c0_g1	DNAJC25 DnaJ molecular chaperone homology domain
isogroup27123_c1_g1	 Troponin
isogroup34823_c0_g1	 Signal peptide peptidase
isogroup34341_c0_g1	 Dermatopontin
isogroup29272_c0_g1	DTWD1 DTW
isogroup27984_c0_g1	UBL3 Ubiquitin-like protein
isogroup4477_c0_g2	CLN5 positive regulation of GTP binding
isogroup90035_c0_g1	RpL28 Structural constituent of ribosome. It is involved in the biological process described with
isogroup11221_c1_g1	 intracellular protein transport
isogroup68536_c0_g1	GRIP1 positive regulation of neuron projection arborization
isogroup68524_c0_g1	JMY 'de novo' actin filament nucleation
isogroup59100_c0_g1	DEK DEK oncogene
isogroup8264_c0_g1	ida Anaphase-promoting complex
isogroup3940_c0_g1	PAN2 Catalytic subunit of the poly(A)-nuclease (PAN) deadenylation complex, one of two cytoplasmic mRNA deadenylases involved in general and miRNA-mediated mRNA turnover. PAN specifically shortens poly(A) tails of RNA and the activity is stimulated by poly(A)-binding protein (PABP). PAN deadenylation is followed by rapid degradation of the shortened mRNA tails by the CCR4-NOT complex. Deadenylated mRNAs are then degraded by two alternative mechanisms, namely exosome-mediated 3'-5' exonucleolytic degradation, or deadenlyation-dependent mRNA decaping and subsequent 5'-3' exonucleolytic degradation by XRN1
isogroup3939_c0_g1	RAD18 RAD18 E3 ubiquitin protein ligase
isogroup82502_c0_g1	PTCHD2 positive regulation of neural precursor cell proliferation
isogroup33653_c0_g1	EIF2AK3 regulation of endoplasmic reticulum stress-induced eIF2 alpha phosphorylation
isogroup33698_c0_g1	CCHCR1 Coiled-coil alpha-helical rod protein 1
isogroup13545_c0_g1	RPAP2 RNA polymerase II
isogroup13509_c0_g1	BACE2 negative regulation of amyloid precursor protein biosynthetic process
isogroup13519_c0_g1	 carbohydrate binding
isogroup3539_c0_g1	ACOT11 Acyl-CoA thioesterase
isogroup3587_c0_g1	 Tumour-associated protein
isogroup3504_c0_g1	C5orf28 Chromosome 5 open reading frame 28
isogroup3591_c0_g2	NSRP1 Nuclear speckle splicing regulatory protein 1
isogroup3591_c0_g3	NSRP1 Nuclear speckle splicing regulatory protein 1
isogroup3596_c0_g1	SHC1 response to endothelin
isogroup3532_c0_g1	CWH43 GPI anchor biosynthetic process
isogroup3593_c1_g1	 Ima1 N-terminal domain
isogroup3529_c0_g2	MGAT2 alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity
isogroup81758_c0_g1	 Electron transfer DM13
isogroup88541_c0_g1	CLN3 Ceroid-lipofuscinosis, neuronal 3
isogroup61343_c0_g1	HACL1 CO dehydrogenase beta subunit/acetyl-CoA synthase epsilon subunit
isogroup3004_c0_g1	MAN2C1 Mannosidase alpha class 2C member 1
isogroup3080_c0_g2	CEP112 receptor localization to synapse
isogroup3073_c0_g2	RPL36 cytoplasmic translation
isogroup3085_c0_g1	 Hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides. It is involved in the biological process described with nitrogen compound metabolic process
isogroup3037_c0_g1	GORAB positive regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning
isogroup39043_c0_g1	UBQLN1 Heat shock chaperonin-binding motif.
isogroup23116_c0_g1	 Collagen triple helix
isogroup30952_c0_g2	AKR7A2 phenanthrene-epoxide hydrolase activity
isogroup30952_c0_g3	AKR7L aldo-keto reductase (NADP) activity
isogroup30902_c0_g1	PAN3 positive regulation of cytoplasmic mRNA processing body assembly
isogroup30936_c0_g1	 FAD binding domain
isogroup15114_c0_g2	 Ragulator complex protein LAMTOR5
isogroup96414_c0_g1	BBS1 Bardet-Biedl syndrome 1
isogroup96450_c0_g1	 NAC domain
isogroup23247_c0_g1	CDKN3 protein tyrosine/serine/threonine phosphatase activity
isogroup27320_c0_g1	 Ribonuclease H protein
isogroup27875_c0_g1	 Electron transfer DM13
isogroup27875_c0_g3	 Electron transfer DM13
isogroup27831_c0_g1	crebzf basic region leucin zipper
isogroup95244_c0_g1	AKR7A2 Aldo-keto reductase family 7, member A3 (aflatoxin aldehyde reductase)
isogroup22615_c0_g1	SMIM14 Protein of unknown function (DUF2615)
isogroup2584_c0_g1	MIEN1 Migration and invasion enhancer 1
isogroup2564_c0_g1	C19orf10 positive regulation of phosphatidylinositol 3-kinase signaling
isogroup2547_c1_g3	TMEM43 Transmembrane protein 43
isogroup2547_c1_g2	TMEM43 Transmembrane protein 43
isogroup2547_c0_g1	TMEM43 nuclear membrane organization
isogroup4164_c0_g1	IFT43 intraciliary retrograde transport
isogroup4195_c0_g1	CDKN3 kinase inhibitor 3
isogroup184_c0_g1	GBP5 Guanylate-binding protein, C-terminal domain
isogroup104_c0_g1	 dipeptidase activity
isogroup40446_c0_g1	RBCK1 RanBP-type and C3HC4-type zinc
isogroup5102_c0_g1	 Beta/gamma crystallins
isogroup5102_c0_g2	AIM1L Absent in melanoma 1-like
isogroup5119_c0_g2	 Si dkeyp-70f9.7
isogroup5136_c0_g1	MESDC2 positive regulation of skeletal muscle acetylcholine-gated channel clustering
isogroup43078_c0_g1	UBL3 Ubiquitin-2 like Rad60 SUMO-like
isogroup2405_c0_g3	 ABC-2 type transporter
