#query	KEGG_ko
k141_436658_8	ko:K13953
k141_436658_14	ko:K07013
k141_436658_19	ko:K03924
k141_436658_21	ko:K07114
k141_218984_3	ko:K06966
k141_218984_7	ko:K03059
k141_218984_8	ko:K02946
k141_218984_9	ko:K03231
k141_218984_10	ko:K01622
k141_218984_12	ko:K10747
k141_218984_13	ko:K07220
k141_218984_14	ko:K01170
k141_436805_6	ko:K06188,ko:K09866
k141_436805_7	ko:K03564
k141_219705_3	ko:K02977
k141_219705_4	ko:K02974
k141_219705_5	ko:K09763
k141_219705_6	ko:K15635
k141_219705_7	ko:K00965
k141_219705_9	ko:K00621
k141_219705_10	ko:K00966
k141_219705_11	ko:K21219
k141_219705_13	ko:K03147
k141_219705_15	ko:K04517
k141_219705_16	ko:K00812
k141_219705_17	ko:K01736
k141_219705_18	ko:K00800
k141_219705_19	ko:K00891
k141_219705_20	ko:K00014
k141_219705_21	ko:K03785
k141_219705_22	ko:K11646
k141_219705_23	ko:K16306
k141_219705_25	ko:K03182
k141_219705_30	ko:K22222
k141_437523_6	ko:K07646,ko:K20989
k141_1767_4	ko:K09143
k141_1767_5	ko:K21140
k141_1767_7	ko:K02257
k141_1767_9	ko:K13525
k141_1767_10	ko:K03232
k141_1767_11	ko:K07580
k141_1767_13	ko:K04763
k141_1767_14	ko:K04763
k141_1767_16	ko:K07488
k141_1860_5	ko:K07090
k141_1860_7	ko:K09005
k141_1860_8	ko:K01809
k141_1860_9	ko:K00721
k141_1860_15	ko:K06865
k141_1860_18	ko:K03568
k141_1860_19	ko:K21929
k141_1860_20	ko:K03652
k141_1860_24	ko:K02031
k141_148678_4	ko:K04487
k141_148678_5	ko:K06864
k141_148678_6	ko:K09121
k141_148678_7	ko:K00024
k141_148678_8	ko:K06898
k141_2836_9	ko:K02952
k141_2836_10	ko:K02986
k141_2836_11	ko:K00820
k141_2836_14	ko:K17759
k141_2836_15	ko:K07477
k141_2836_16	ko:K03058
k141_2836_17	ko:K01689
k141_2836_18	ko:K02967
k141_2836_19	ko:K00869
k141_2836_20	ko:K06981
k141_2836_21	ko:K01823
k141_2836_22	ko:K13787
k141_2836_23	ko:K01885
k141_2836_26	ko:K05710
k141_2836_27	ko:K09721
k141_2836_32	ko:K00833
k141_2836_36	ko:K06223
k141_2836_39	ko:K07319
k141_76066_2	ko:K02892
k141_76066_3	ko:K02930
k141_76066_4	ko:K02906
k141_76066_5	ko:K09142
k141_76066_6	ko:K03432
k141_76066_10	ko:K09738
k141_76157_8	ko:K00261
k141_76157_10	ko:K03432
k141_76157_11	ko:K03183
k141_76157_12	ko:K08153,ko:K08221
k141_76157_13	ko:K04751
k141_76157_14	ko:K03116
k141_76157_15	ko:K00571,ko:K00590
k141_76157_16	ko:K06877
k141_76157_18	ko:K03163
k141_76157_21	ko:K07341
k141_3028_17	ko:K00031
k141_3028_18	ko:K02493
k141_3028_19	ko:K02528
k141_3028_20	ko:K07572
k141_3028_21	ko:K03051
k141_3028_22	ko:K02889
k141_3028_23	ko:K06941
k141_3028_24	ko:K04483
k141_3028_30	ko:K09744
k141_3028_31	ko:K02983
k141_3028_33	ko:K02823
k141_3028_34	ko:K00226,ko:K00254,ko:K17723,ko:K17828
k141_3028_35	ko:K14564
k141_149876_4	ko:K02927
k141_149876_5	ko:K01902
k141_149876_6	ko:K01903
k141_149876_9	ko:K01870
k141_149876_10	ko:K01934
k141_149876_11	ko:K01491
k141_149876_12	ko:K21481
k141_149876_14	ko:K11175
k141_149876_15	ko:K07577
k141_3196_3	ko:K01881
k141_76498_4	ko:K00058
k141_76498_5	ko:K00368
k141_76888_1	ko:K07497
k141_76888_6	ko:K00558
k141_76888_7	ko:K07458
k141_440873_9	ko:K09723
k141_440873_10	ko:K01915
k141_440873_11	ko:K22447
k141_440873_12	ko:K00600
k141_440873_13	ko:K02322
k141_440873_14	ko:K17104
k141_440873_19	ko:K10725
k141_440873_20	ko:K02323
k141_440873_24	ko:K03399
k141_440873_26	ko:K03768
k141_440873_27	ko:K03885
k141_440873_29	ko:K13993
k141_440873_30	ko:K13525
k141_440873_33	ko:K03124
k141_441328_2	ko:K08282
k141_441328_4	ko:K00558
k141_152386_8	ko:K04487
k141_152386_10	ko:K03622
k141_152386_13	ko:K06869
k141_152386_14	ko:K00809
k141_152386_15	ko:K01858
k141_152386_16	ko:K13566
k141_152386_17	ko:K03529
k141_152386_18	ko:K02032
k141_370221_1	ko:K02863
k141_370221_2	ko:K02864
k141_5968_3	ko:K07076
k141_297041_4	ko:K14166
k141_297041_5	ko:K09816
k141_297041_6	ko:K09817
k141_297041_7	ko:K09815
k141_297041_8	ko:K07722
k141_297041_12	ko:K07157
k141_297041_13	ko:K00609
k141_297041_14	ko:K00610
k141_297041_15	ko:K02124
k141_297041_17	ko:K02120
k141_297041_18	ko:K02118
k141_297041_19	ko:K02117
k141_297041_20	ko:K02121
k141_297041_21	ko:K02123
k141_297041_24	ko:K01011
k141_297041_25	ko:K03320
k141_297041_27	ko:K02119
k141_297041_29	ko:K07464
