k141_145339_5	K03406
k141_145339_7	K14257
k141_145339_8	K18240
k141_435897_2	K07028
k141_303_1	K00054
k141_303_2	K01823
k141_73063_5	K03670
k141_73063_7	K01940
k141_73063_8	K21218
k141_73063_15	K00797
k141_73063_17	K09980
k141_73063_18	K03969
k141_218986_3	K00052
k141_73637_2	K03310
k141_73637_3	K06972
k141_291689_1	K04077
k141_291689_2	K04078
k141_73679_3	K03555
k141_73779_2	K04751,K04752
k141_73779_5	K00020
k141_292095_6	K01535,K12955
k141_292095_7	K13993
k141_1429_1	K01624
k141_219712_11	K02231
k141_219712_12	K00768
k141_219712_13	K02226,K15634
k141_219712_14	K02233
k141_219914_1	K15371
k141_365381_1	K02004
k141_75060_2	K17315
k141_2046_4	K18300
k141_75156_8	K03723
k141_75156_13	K00772,K19696
k141_75156_16	K07491
k141_75156_20	K17315
k141_2589_6	K10747
k141_76200_1	K02035
k141_76200_2	K02033
k141_76200_3	K02034
k141_367471_3	K02483
k141_3035_2	K01951
k141_3035_3	K00088
k141_3035_5	K03601
k141_3035_8	K01714
k141_3035_9	K03567
k141_3035_10	K03564
k141_3035_11	K07175
k141_3035_22	K07659
k141_3035_37	K01991
k141_3035_43	K08352
k141_3035_52	K01661
k141_3035_54	K01851,K02361,K02552
k141_76553_1	K03695
k141_294638_1	K02012
k141_294638_2	K02011
k141_294638_3	K00605
k141_294638_4	K02437
k141_294638_5	K00282
k141_294638_6	K11065
k141_294638_7	K00283
k141_294638_8	K00901
k141_294638_9	K06888
k141_294638_11	K09930
k141_294638_13	K03746
k141_294638_18	K03575
k141_294638_26	K07154
k141_294638_27	K03427
k141_294638_28	K01154
k141_294638_31	K01153
k141_3680_2	K03500
k141_3680_3	K03499
k141_76928_1	K07133
k141_76928_2	K04085
k141_76928_4	K10716
k141_150724_2	K02948
k141_150724_3	K02986
k141_150724_4	K03040
k141_150724_5	K02879
k141_440393_6	K11688
k141_77391_2	K00648
k141_77391_3	K00059
k141_77391_4	K02078
k141_77391_6	K07082
k141_77391_7	K00943
k141_4307_1	K03217
k141_4307_2	K08998
k141_4307_3	K03536
k141_151392_3	K07126
k141_151392_6	K15633
k141_151392_8	K02482,K14986
k141_151392_9	K16291
k141_151392_13	K04767
k141_151392_24	K04069
k141_151392_35	K07462
k141_151392_40	K13634
k141_151495_7	K04061
k141_151495_8	K03496
k141_151539_6	K05845
k141_369371_1	K03732
k141_441088_2	K03111
k141_441088_4	K03701
k141_441088_5	K01524
k141_441088_7	K02879
k141_441088_8	K03040
k141_441088_9	K02986
k141_441088_10	K02948
k141_441088_11	K02952
k141_441088_13	K03076
k141_441088_14	K02876
k141_441088_15	K02907
k141_441088_16	K02988
k141_441088_17	K02881
k141_441088_18	K02933
k141_441088_19	K02994
k141_441088_20	K02954
k141_441088_21	K02931
k141_441088_22	K02895
k141_441088_23	K02874
k141_441088_24	K02961
k141_441088_25	K02904
k141_441088_26	K02878
k141_441088_27	K02982
k141_441088_28	K02890
k141_441088_29	K02965
k141_441088_30	K02886
k141_441088_32	K02926
k141_441088_33	K02906
k141_441088_34	K02946
k141_441088_35	K02358
k141_223427_2	K11747
k141_223605_1	K17103
k141_223605_2	K07147
k141_223605_3	K17247
k141_441355_6	K05366
k141_441355_7	K05366
k141_441355_9	K07153
k141_441355_17	K01897
k141_296160_5	K04771,K04772
k141_296160_6	K05516
k141_296160_7	K03799
k141_296160_8	K03672
k141_152207_1	K02034
k141_441527_3	K05847
k141_441527_4	K03554
k141_441527_12	K03793
k141_5143_1	K07012
k141_5154_1	K02965
k141_5154_2	K02890
k141_5154_3	K02982
k141_5154_4	K02878
k141_223910_2	K01990
k141_223910_3	K01992
k141_370053_2	K02897
k141_370053_3	K01056
k141_78729_1	K01414
k141_5290_14	K04043
k141_370179_1	K00806
k141_296410_9	K08281
k141_296410_12	K03654
k141_296410_20	K00925
k141_370357_1	K07491
k141_442200_1	K06217
k141_442311_1	K00412
k141_442311_2	K00413
