isogroup122754_c0_g1	Cytoskeleton
isogroup123524_c0_g1	Defense mechanisms
isogroup103011_c0_g1	Signal transduction mechanisms
isogroup107390_c0_g1	Posttranslational modification, protein turnover, chaperones
isogroup112132_c0_g1	Energy production and conversion
isogroup112114_c0_g1	Replication, recombination and repair
isogroup107289_c0_g1	RNA processing and modification
isogroup120742_c0_g1	Energy production and conversion
isogroup106513_c0_g1	Energy production and conversion
isogroup124303_c0_g1	Posttranslational modification, protein turnover, chaperones
isogroup106449_c0_g1	Carbohydrate transport and metabolism
isogroup116294_c0_g1	Amino acid transport and metabolism
isogroup105617_c0_g1	Signal transduction mechanisms
isogroup119297_c0_g1	Energy production and conversion
isogroup120198_c0_g1	Posttranslational modification, protein turnover, chaperones
isogroup123193_c0_g1	Signal transduction mechanisms
isogroup112290_c0_g1	Energy production and conversion
isogroup120816_c0_g1	Transcription
isogroup115219_c0_g1	Translation, ribosomal structure and biogenesis
isogroup115408_c0_g1	Posttranslational modification, protein turnover, chaperones
isogroup102339_c0_g1	Transcription
isogroup105289_c0_g1	Signal transduction mechanisms
isogroup124602_c0_g1	Cell cycle control, cell division, chromosome partitioning
isogroup76876_c0_g1	Carbohydrate transport and metabolism
isogroup76876_c0_g2	Carbohydrate transport and metabolism
isogroup67531_c0_g4	Inorganic ion transport and metabolism
isogroup67517_c0_g1	Carbohydrate transport and metabolism
isogroup67563_c0_g2	Carbohydrate transport and metabolism
isogroup67552_c0_g1	Cell cycle control, cell division, chromosome partitioning
isogroup59718_c0_g2	RNA processing and modification
isogroup59783_c1_g2	RNA processing and modification
isogroup59263_c0_g2	Signal transduction mechanisms
isogroup59237_c0_g1	Signal transduction mechanisms
isogroup59237_c0_g2	Signal transduction mechanisms
isogroup78497_c1_g1	Carbohydrate transport and metabolism
isogroup78451_c6_g1	Defense mechanisms
isogroup73948_c0_g2	Extracellular structures
isogroup73936_c0_g2	Replication, recombination and repair
isogroup73941_c5_g1	Defense mechanisms
isogroup73979_c3_g2	Cytoskeleton
isogroup41293_c0_g1	Energy production and conversion
isogroup71349_c0_g1	Chromatin structure and dynamics
isogroup71376_c1_g2	Cell wall/membrane/envelope biogenesis
isogroup71399_c0_g6	Signal transduction mechanisms
isogroup71309_c1_g2	Cytoskeleton
isogroup71309_c1_g7	Cytoskeleton
isogroup71309_c1_g9	Cytoskeleton
isogroup52132_c0_g1	Posttranslational modification, protein turnover, chaperones
isogroup52132_c0_g2	Posttranslational modification, protein turnover, chaperones
isogroup66141_c4_g2	Translation, ribosomal structure and biogenesis
isogroup66162_c0_g3	Lipid transport and metabolism
isogroup66162_c0_g7	Lipid transport and metabolism
isogroup66143_c0_g1	Cell motility
isogroup66101_c6_g8	Signal transduction mechanisms
isogroup73878_c1_g6	Coenzyme transport and metabolism
isogroup73890_c4_g3	Posttranslational modification, protein turnover, chaperones
isogroup73727_c6_g1	Energy production and conversion
isogroup73709_c1_g2	Replication, recombination and repair
isogroup67352_c0_g2	Secondary metabolites biosynthesis, transport and catabolism
isogroup67352_c1_g3	Signal transduction mechanisms
isogroup67352_c1_g13	Extracellular structures
isogroup67354_c0_g1	Extracellular structures
isogroup67335_c14_g1	Translation, ribosomal structure and biogenesis
isogroup68165_c0_g1	Transcription
isogroup68143_c3_g1	Defense mechanisms
isogroup75675_c1_g1	Transcription
isogroup72180_c5_g1	Coenzyme transport and metabolism
isogroup72102_c2_g1	Posttranslational modification, protein turnover, chaperones
isogroup25944_c0_g1	Transcription
isogroup56170_c0_g4	Signal transduction mechanisms
isogroup35347_c0_g1	Transcription
isogroup69934_c0_g1	Posttranslational modification, protein turnover, chaperones
isogroup2438_c0_g1	Signal transduction mechanisms
isogroup77322_c0_g1	RNA processing and modification
isogroup77392_c0_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup77382_c2_g2	Signal transduction mechanisms
isogroup71218_c3_g2	Signal transduction mechanisms
isogroup71286_c3_g1	Transcription
isogroup76292_c0_g1	Replication, recombination and repair
isogroup76202_c3_g2	Intracellular trafficking, secretion, and vesicular transport
isogroup76223_c4_g3	Translation, ribosomal structure and biogenesis
isogroup79433_c8_g1	Translation, ribosomal structure and biogenesis
isogroup66943_c0_g1	Signal transduction mechanisms
isogroup66990_c3_g3	Signal transduction mechanisms
isogroup78217_c0_g3	Transcription
isogroup36165_c0_g1	Transcription
isogroup69299_c2_g2	Cytoskeleton
isogroup69299_c2_g4	Cytoskeleton
isogroup69258_c0_g1	Cytoskeleton
isogroup77681_c0_g1	Defense mechanisms
isogroup77681_c0_g4	Defense mechanisms
isogroup77604_c8_g3	Intracellular trafficking, secretion, and vesicular transport
isogroup77647_c2_g1	Carbohydrate transport and metabolism
isogroup48785_c0_g1	Carbohydrate transport and metabolism
isogroup28341_c0_g1	RNA processing and modification
isogroup47238_c0_g1	Energy production and conversion
isogroup54064_c0_g4	Lipid transport and metabolism
isogroup54064_c0_g6	Lipid transport and metabolism
isogroup54062_c0_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup54048_c0_g1	Carbohydrate transport and metabolism
isogroup79019_c3_g1	Posttranslational modification, protein turnover, chaperones
isogroup40787_c0_g2	Lipid transport and metabolism
isogroup48588_c0_g2	Transcription
isogroup48573_c0_g1	Posttranslational modification, protein turnover, chaperones
isogroup66279_c1_g2	Posttranslational modification, protein turnover, chaperones
isogroup71555_c0_g1	Replication, recombination and repair
isogroup71525_c1_g1	RNA processing and modification
isogroup60583_c0_g1	Cytoskeleton
isogroup77092_c0_g1	Signal transduction mechanisms
isogroup77022_c1_g2	Posttranslational modification, protein turnover, chaperones
isogroup77006_c0_g1	RNA processing and modification
isogroup38939_c0_g1	Lipid transport and metabolism
isogroup65313_c0_g3	Transcription
isogroup65313_c0_g1	Transcription
isogroup65342_c1_g1	Posttranslational modification, protein turnover, chaperones
isogroup65342_c2_g3	Signal transduction mechanisms
isogroup95117_c0_g1	Carbohydrate transport and metabolism
isogroup95132_c0_g1	Signal transduction mechanisms
isogroup78362_c1_g5	Signal transduction mechanisms
isogroup78382_c0_g1	Signal transduction mechanisms
isogroup68327_c3_g4	Replication, recombination and repair
isogroup68339_c0_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup68309_c4_g1	Posttranslational modification, protein turnover, chaperones
isogroup68312_c5_g1	Chromatin structure and dynamics
isogroup75291_c1_g1	Replication, recombination and repair
isogroup75221_c1_g1	Transcription
isogroup53239_c0_g3	Cytoskeleton
isogroup61686_c0_g1	Signal transduction mechanisms
isogroup71832_c2_g4	Carbohydrate transport and metabolism
isogroup71832_c2_g6	Carbohydrate transport and metabolism
isogroup62547_c0_g1	Energy production and conversion
isogroup62577_c0_g2	Energy production and conversion
isogroup62588_c0_g1	Amino acid transport and metabolism
isogroup32589_c0_g1	Signal transduction mechanisms
isogroup55119_c0_g2	Signal transduction mechanisms
isogroup55150_c0_g1	Secondary metabolites biosynthesis, transport and catabolism
isogroup55165_c0_g4	Extracellular structures
isogroup55165_c0_g6	Extracellular structures
isogroup55493_c0_g1	Translation, ribosomal structure and biogenesis
isogroup71162_c0_g1	RNA processing and modification
isogroup51854_c0_g2	Transcription
isogroup60031_c0_g1	Posttranslational modification, protein turnover, chaperones
isogroup2284_c0_g1	Posttranslational modification, protein turnover, chaperones
isogroup87407_c0_g1	Posttranslational modification, protein turnover, chaperones
isogroup45704_c0_g4	Replication, recombination and repair
isogroup45717_c0_g1	Signal transduction mechanisms
isogroup75426_c3_g1	Energy production and conversion
isogroup23161_c0_g1	Transcription
isogroup23148_c0_g1	Signal transduction mechanisms
isogroup58757_c0_g1	Inorganic ion transport and metabolism
isogroup58757_c0_g2	Inorganic ion transport and metabolism
isogroup58765_c0_g1	Amino acid transport and metabolism
isogroup70384_c7_g8	Posttranslational modification, protein turnover, chaperones
isogroup70384_c7_g12	Posttranslational modification, protein turnover, chaperones
isogroup70372_c0_g2	Posttranslational modification, protein turnover, chaperones
isogroup70372_c0_g3	Posttranslational modification, protein turnover, chaperones
isogroup64273_c1_g2	Amino acid transport and metabolism
isogroup96532_c0_g1	Energy production and conversion
isogroup96559_c0_g1	Extracellular structures
isogroup10809_c0_g1	Transcription
isogroup68485_c0_g1	Energy production and conversion
isogroup61927_c0_g1	Signal transduction mechanisms
isogroup61968_c0_g6	Signal transduction mechanisms
isogroup71964_c6_g2	Carbohydrate transport and metabolism
isogroup71953_c0_g1	Translation, ribosomal structure and biogenesis
isogroup43089_c0_g1	Posttranslational modification, protein turnover, chaperones
isogroup74962_c2_g1	Replication, recombination and repair
isogroup74936_c0_g1	Intracellular trafficking, secretion, and vesicular transport
isogroup73431_c1_g1	Carbohydrate transport and metabolism
isogroup73416_c1_g4	Amino acid transport and metabolism
isogroup73442_c0_g1	Chromatin structure and dynamics
isogroup70986_c0_g1	RNA processing and modification
isogroup70946_c1_g2	RNA processing and modification
isogroup65042_c0_g1	Posttranslational modification, protein turnover, chaperones
isogroup65075_c3_g1	Signal transduction mechanisms
isogroup65048_c0_g1	Carbohydrate transport and metabolism
isogroup46645_c0_g1	Posttranslational modification, protein turnover, chaperones
isogroup46691_c0_g1	Posttranslational modification, protein turnover, chaperones
isogroup46637_c0_g1	Signal transduction mechanisms
isogroup48801_c0_g3	Intracellular trafficking, secretion, and vesicular transport
isogroup57904_c0_g1	Translation, ribosomal structure and biogenesis
isogroup74028_c0_g1	Replication, recombination and repair
isogroup74088_c5_g7	RNA processing and modification
isogroup74075_c1_g1	Chromatin structure and dynamics
isogroup74051_c2_g1	Transcription
isogroup61406_c0_g2	Amino acid transport and metabolism
isogroup61479_c0_g2	Posttranslational modification, protein turnover, chaperones
isogroup61419_c0_g2	Carbohydrate transport and metabolism
isogroup53770_c0_g1	RNA processing and modification
isogroup59147_c0_g4	Posttranslational modification, protein turnover, chaperones
isogroup59196_c0_g3	Intracellular trafficking, secretion, and vesicular transport
isogroup56976_c0_g2	Cytoskeleton
isogroup72864_c2_g1	Posttranslational modification, protein turnover, chaperones
isogroup72881_c0_g1	Signal transduction mechanisms
isogroup72873_c1_g1	Transcription
isogroup72856_c1_g1	Signal transduction mechanisms
isogroup72889_c1_g1	Transcription
isogroup72815_c2_g1	Signal transduction mechanisms
isogroup47984_c0_g2	Energy production and conversion
isogroup50232_c0_g2	Signal transduction mechanisms
isogroup50208_c0_g1	Posttranslational modification, protein turnover, chaperones
isogroup67406_c0_g1	Inorganic ion transport and metabolism
isogroup63030_c1_g2	Defense mechanisms
isogroup63086_c0_g4	RNA processing and modification
isogroup63007_c0_g2	Cytoskeleton
isogroup68602_c0_g2	Lipid transport and metabolism
isogroup68682_c1_g1	Nucleotide transport and metabolism
isogroup68632_c2_g1	RNA processing and modification
isogroup68678_c0_g5	Signal transduction mechanisms
isogroup50525_c0_g1	Posttranslational modification, protein turnover, chaperones
isogroup13716_c0_g1	Cell cycle control, cell division, chromosome partitioning
isogroup38546_c0_g1	Carbohydrate transport and metabolism
isogroup58595_c0_g2	Posttranslational modification, protein turnover, chaperones
isogroup14920_c0_g2	Signal transduction mechanisms
isogroup41913_c1_g2	Extracellular structures
isogroup70295_c6_g1	Replication, recombination and repair
isogroup59857_c0_g3	Posttranslational modification, protein turnover, chaperones
isogroup59802_c0_g2	Inorganic ion transport and metabolism
isogroup36449_c0_g1	Signal transduction mechanisms
isogroup27476_c0_g1	Cytoskeleton
isogroup77449_c1_g1	Energy production and conversion
isogroup77498_c1_g1	Lipid transport and metabolism
isogroup77405_c1_g1	Cytoskeleton
isogroup77405_c1_g3	Cytoskeleton
