#query	KEGG_ko
k141_186189_5	K18816
k141_1112183_1	K01153
k141_556998_1	K17623
k141_928003_1	K03753,K13818
k141_928003_2	K03752
k141_928003_3	K09948
k141_928003_4	K21029
k141_928003_10	K03638
k141_928003_11	K03635
k141_928003_13	K03750
k141_928003_15	K03787
k141_928003_16	K00573
k141_372529_3	K03307
k141_743581_3	K06942
k141_743581_4	K01056
k141_743581_5	K02897
k141_743581_6	K00948
k141_743581_7	K00919
k141_743581_10	K02492
k141_743581_11	K02835
k141_743581_12	K02493
k141_743581_14	K02434
k141_743581_15	K02433
k141_1113411_1	K03716
k141_928588_2	K00571
k141_373007_3	K00324
k141_373007_44	K16087
k141_928939_1	K21929
k141_928939_2	K01649
k141_188110_5	K00249
k141_744041_2	K03676
k141_744041_3	K01011
k141_744041_4	K03797
k141_744041_5	K00820
k141_2524_1	K09748
k141_2524_2	K02600
k141_2524_3	K02519
k141_744772_1	K02520
k141_744772_2	K02916
k141_744772_3	K02887
k141_744772_4	K01889
k141_744772_5	K01890
k141_744772_6	K04764
k141_744772_10	K00768,K15634
k141_744772_26	K02004
k141_744772_31	K00626
k141_744772_34	K00209
k141_744772_36	K13566
k141_744772_39	K01893
k141_744772_45	K19696
k141_744772_53	K11688,K21395
k141_929971_4	K03561
k141_929971_5	K03559
k141_929971_6	K03832
k141_559831_1	K03722
k141_189253_8	K18816
k141_745349_5	K01886
k141_745360_5	K13953
k141_745360_7	K03495
k141_745360_8	K03501
k141_745360_9	K03496
k141_745360_10	K03497
k141_745360_11	K07276
k141_374337_8	K04763
k141_3287_1	K19416
k141_3287_3	K01875
k141_745763_1	K01588
k141_745763_2	K07566
k141_745763_3	K00228
k141_745763_10	K03320
k141_560524_6	K20074
k141_930774_5	K06886
k141_189889_1	K01647
k141_930857_3	K00163
k141_930857_4	K00627
k141_746368_1	K00548
k141_746710_1	K07146
k141_746710_2	K00528,K15765
k141_375557_1	K02016
k141_375557_2	K16092
k141_375557_3	K03147
k141_375557_6	K12340
k141_375557_7	K02527
k141_931386_5	K03797
k141_3950_8	K01640
k141_3950_10	K03710
k141_3950_31	K04077
k141_561456_1	K05807
k141_561456_2	K01950
k141_561456_3	K02650
k141_561456_5	K02654
k141_561456_6	K00859
k141_561456_8	K01866
k141_561456_10	K09001
k141_561456_11	K15724
k141_561456_16	K03046
k141_561456_17	K03043
k141_561456_18	K02935
k141_561456_19	K02864
k141_561456_20	K02863
k141_561456_21	K02867
k141_561456_22	K02601
k141_561456_23	K03073
k141_561456_24	K02358
k141_375789_1	K03086
k141_375789_2	K00228
k141_375789_4	K01273
k141_375789_5	K03315
k141_375789_8	K04085
k141_375789_13	K07263
k141_375789_14	K06949
k141_375789_15	K03310
k141_375789_17	K03314
k141_375789_19	K01077
k141_375789_23	K01714
k141_375789_24	K03548
k141_375789_25	K04085
k141_375789_27	K03517
k141_375789_30	K00097
k141_375789_31	K03771
k141_375789_34	K02492
k141_375789_35	K02835
k141_375789_36	K02435
k141_375789_37	K02433
k141_375789_38	K02434
k141_375789_40	K02518
k141_375789_41	K00793
k141_375789_44	K03832
k141_375789_45	K03832
k141_375789_46	K03559
k141_375789_47	K03561
k141_375789_48	K03561
k141_375789_54	K01610
k141_375789_56	K10563
k141_375789_57	K08973
k141_375789_58	K01845
k141_1116871_34	K00571,K07319
k141_1116871_42	K03630
k141_375852_17	K03227
k141_375852_19	K03225
k141_375864_1	K03427
k141_190920_1	K13687
k141_747252_2	K00428
k141_747252_3	K02884
k141_747252_4	K00554
k141_561840_2	K04084
k141_561840_4	K07113
k141_561840_5	K04077
k141_561840_6	K04078
k141_191151_2	K01654
k141_1117232_1	K01156
k141_4776_5	K01637
k141_4776_6	K01756
k141_4776_7	K07153
k141_4776_8	K00566
k141_4776_9	K03637
k141_4776_10	K03636
