isogroup47480_c0_g2	K13525
isogroup76356_c2_g3	K16944
isogroup69930_c2_g1	K17973
isogroup27343_c0_g1	K17197
isogroup60394_c0_g1	K04727
isogroup76555_c1_g1	K07359
isogroup24972_c0_g1	K02991
isogroup74227_c1_g1	K12035
isogroup69389_c1_g1	K02726
isogroup77304_c1_g3	K16540
isogroup77636_c1_g2	K10392
isogroup71315_c1_g2	K02971
isogroup68130_c2_g3	K03173
isogroup70803_c2_g2	K20776
isogroup73371_c0_g1	K12035
isogroup70255_c4_g1	K17434
isogroup73607_c8_g2	K14771
isogroup71411_c0_g1	K20406
isogroup100388_c0_g1	K00698
isogroup78432_c2_g1	K12626
isogroup73806_c0_g1	K00142
isogroup75442_c0_g1	K03942
isogroup60094_c0_g1	K18644
isogroup73180_c2_g2	K14782
isogroup75752_c2_g4	K08855
isogroup76351_c2_g1	K20131
isogroup74308_c6_g1	K20029
isogroup102747_c0_g1	K19027
isogroup77067_c0_g1	K10380
isogroup71945_c0_g1	K00411
isogroup71893_c0_g3	K02896
isogroup69373_c0_g1	K00451
isogroup74912_c4_g2	K21444
isogroup121739_c0_g1	K23796
isogroup71479_c0_g1	K11109
isogroup41407_c0_g1	K04645
isogroup62259_c0_g1	K01225
isogroup37559_c0_g1	K04431
isogroup67203_c2_g1	K02947
isogroup63445_c0_g1	K01527
isogroup95212_c0_g1	K00365
isogroup67930_c0_g2	K11393
isogroup74358_c2_g5	K07151
isogroup60250_c0_g1	K11987
isogroup60296_c0_g1	K00026
isogroup73956_c0_g1	K17095
isogroup72115_c2_g1	K17985
isogroup61171_c0_g1	K02295
isogroup14240_c0_g1	K01411
isogroup68002_c7_g7	K02947
isogroup78281_c1_g1	K11462
isogroup31263_c0_g1	K10370
isogroup77895_c7_g2	K04615
isogroup68665_c6_g2	K00416
isogroup72906_c0_g1	K04445
isogroup62171_c0_g1	K24348
isogroup71216_c0_g1	K13236
isogroup66155_c0_g6	K17751
isogroup60830_c0_g1	K01379
isogroup112508_c0_g1	K17302
isogroup65276_c0_g3	K17751
isogroup58122_c0_g2	K12838
isogroup78521_c1_g3	K05695
isogroup77284_c0_g4	K06185
isogroup72058_c0_g1	K01969
isogroup68664_c7_g2	K16757
isogroup70366_c5_g5	K01365
isogroup73188_c2_g1	K17268
isogroup112158_c0_g1	K09500
isogroup70910_c0_g1	K20411
isogroup68171_c3_g9	K23490
isogroup73497_c0_g1	K06037
isogroup79454_c12_g5	K22017
isogroup75126_c0_g3	K06069
isogroup76185_c2_g9	K02942
isogroup72932_c3_g2	K17610
isogroup79466_c8_g1	K19006
isogroup75025_c0_g4	K03869
isogroup76007_c7_g1	K12191
isogroup59546_c0_g1	K01464
isogroup41778_c0_g1	K03363
isogroup107245_c0_g1	K08467
isogroup55912_c0_g4	K25029
isogroup68523_c5_g1	K02370
isogroup79109_c4_g1	K10895
isogroup60720_c0_g1	K09528
isogroup72869_c1_g6	K04634
isogroup15317_c0_g1	K14794
isogroup68967_c7_g1	K02942
isogroup68034_c7_g2	K05768
isogroup106335_c0_g1	K23714
isogroup78918_c2_g2	K18081
isogroup63173_c0_g1	K15507
isogroup74534_c10_g1	K02896
isogroup77361_c4_g2	K12400
isogroup62232_c0_g1	K12478
isogroup74425_c3_g4	K11971
