isogroup122754_c0_g1	NLRP2 PAAD/DAPIN/Pyrin domain
isogroup123524_c0_g1	MIF phenylpyruvate tautomerase activity
isogroup103011_c0_g1	 complement activation, classical pathway
isogroup107390_c0_g1	 A-macroglobulin receptor
isogroup106863_c0_g1	CLN6 Ceroid-lipofuscinosis neuronal
isogroup112116_c0_g1	 Insect cuticle protein
isogroup112132_c0_g1	Atp5j2 Conserved hypothetical protein
isogroup112114_c0_g1	THUMPD3 tRNA (guanine) methyltransferase activity
isogroup114808_c0_g1	CLN5 Ceroid-lipofuscinosis neuronal
isogroup107289_c0_g1	bl Heterogeneous nuclear ribonucleoprotein k
isogroup120742_c0_g1	GPCPD1 Glycerophosphocholine phosphodiesterase GDE1 homolog (S. cerevisiae)
isogroup106513_c0_g1	AKR7A2 Aldo-keto reductase family 7, member A3 (aflatoxin aldehyde reductase)
isogroup114717_c0_g1	PAAF1 Proteasomal ATPase-associated factor 1
isogroup124303_c0_g1	FucT6 Catalyzes the addition of fucose in alpha 1-6 linkage to the first GlcNAc residue, next to the peptide chains in N-glycans
isogroup106449_c0_g1	Amyrel activity. It is involved in the biological process described with carbohydrate metabolic process
isogroup116294_c0_g1	ECE2 Si ch211-224b1.4
isogroup105617_c0_g1	BAIAP2 cytoskeletal adaptor activity
isogroup119297_c0_g1	Ndufs5 NADH:ubiquinone oxidoreductase, NDUFS5-15kDa
isogroup120198_c0_g1	 Peptidase M16 inactive domain
isogroup123193_c0_g1	INPP5K phosphatidylinositol dephosphorylation
isogroup105554_c0_g1	Scp2 Calcium ion binding
isogroup112290_c0_g1	Oscp ATP synthase delta (OSCP) subunit
isogroup120816_c0_g1	 SWIB/MDM2 domain
isogroup115219_c0_g1	EIF2D Putative RNA-binding Domain in PseudoUridine synthase and Archaeosine transglycosylase
isogroup119596_c0_g1	 Ragulator complex protein LAMTOR5
isogroup115408_c0_g1	CILP Cartilage intermediate layer protein
isogroup100434_c0_g1	WSB1 suppressors of cytokine signalling
isogroup102339_c0_g1	FABP4 Belongs to the calycin superfamily. Fatty-acid binding protein (FABP) family
isogroup105289_c0_g1	PTCHD2 positive regulation of neural precursor cell proliferation
isogroup124602_c0_g1	 meprin and TRAF homology
isogroup76831_c0_g3	ITIH4 inter-alpha-trypsin inhibitor heavy chain
isogroup76876_c0_g1	MGAT2 alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity
isogroup76876_c0_g2	MGAT2 alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity
isogroup76824_c1_g1	TELO2 TEL2, telomere maintenance 2, homolog (S. cerevisiae)
isogroup76810_c3_g2	MMS19 MMS19 nucleotide excision repair
isogroup76826_c1_g3	TYR This is a copper-containing oxidase that functions in the formation of pigments such as melanins and other polyphenolic compounds. Catalyzes the initial and rate limiting step in the cascade of reactions leading to melanin production from tyrosine. In addition to hydroxylating tyrosine to DOPA (3,4- dihydroxyphenylalanine), also catalyzes the oxidation of DOPA to DOPA-quinone, and possibly the oxidation of DHI (5,6- dihydroxyindole) to indole-5,6 quinone
isogroup76826_c1_g5	TYRP1 acetoacetic acid metabolic process
isogroup67531_c0_g4	Vg nutrient reservoir activity
isogroup67517_c0_g1	LARGE xylosyltransferase activity
isogroup67539_c11_g1	GVQW1 Pfam:GVQW
isogroup67563_c0_g2	C12orf5 TP53 induced glycolysis regulatory phosphatase
isogroup67549_c2_g1	CCDC51 Coiled-coil domain containing 51
isogroup67552_c0_g1	 Domain present in fly proteins (CG14681, CG12492, CG6217), worm H06A10.1 and Arabidopsis thaliana MBG8.9.
isogroup59718_c0_g2	 K homology RNA-binding domain
isogroup59760_c0_g1	CLEC19A C-type lectin (CTL) or carbohydrate-recognition domain (CRD)
isogroup59783_c1_g2	RBMX2 mRNA-containing ribonucleoprotein complex export from nucleus
isogroup59263_c0_g2	 SH3 domain-binding protein 5 (SH3BP5)
isogroup59237_c0_g1	fax Glutathione S-transferase N-terminal domain
isogroup59237_c0_g2	fax Failed axon connections protein
isogroup78497_c1_g1	XYLB Xylulokinase homolog (H. influenzae)
isogroup78451_c6_g1	BPI Bactericidal permeability-increasing protein
isogroup78493_c1_g1	ANAPC1 complex, subunit
isogroup78496_c1_g1	NPHP4 positive regulation of bicellular tight junction assembly
isogroup73948_c0_g2	TSPEAR sensory perception of sound
isogroup73961_c1_g1	SPATA24 spermatogenesis
isogroup73936_c0_g2	NUDT19 Nudix (nucleoside diphosphate linked moiety X)-type motif 19
isogroup73941_c5_g1	SERPINB1 Serpin peptidase inhibitor, clade B (ovalbumin), member 1
isogroup73940_c3_g1	 Oxidoreductase-like protein, N-terminal
isogroup73923_c4_g1	 Translation machinery associated TMA7
isogroup73979_c3_g2	 Dynein heavy chain, N-terminal region 2
isogroup41253_c0_g2	NPC2 intracellular cholesterol transport
isogroup41293_c0_g1	COX2 Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Subunits 1- 3 form the functional core of the enzyme complex. Subunit 2 transfers the electrons from cytochrome c via its binuclear copper A center to the bimetallic center of the catalytic subunit 1
isogroup71349_c0_g1	TADA2A positive regulation of histone acetylation
isogroup71376_c1_g2	ANK2 neuronal
isogroup71399_c0_g6	CLEC19A mannose binding
isogroup71399_c0_g10	 carbohydrate binding
isogroup71300_c0_g1	Jtb Jumping translocation breakpoint protein (JTB)
isogroup71309_c1_g2	 Troponin T
