k141_290921_13	Replication, recombination and repair
k141_436658_8	Energy production and conversion
k141_436658_10	Replication, recombination and repair
k141_436658_14	Transcription
k141_436658_15	Energy production and conversion
k141_436658_21	Posttranslational modification, protein turnover, chaperones
k141_436658_23	Transcription
k141_436658_28	Posttranslational modification, protein turnover, chaperones
k141_436658_29	Energy production and conversion
k141_218984_7	Transcription
k141_218984_8	Translation, ribosomal structure and biogenesis
k141_218984_9	Translation, ribosomal structure and biogenesis
k141_218984_10	Carbohydrate transport and metabolism
k141_218984_12	Replication, recombination and repair
k141_218984_13	Inorganic ion transport and metabolism
k141_218984_14	Replication, recombination and repair
k141_436805_2	Amino acid transport and metabolism
k141_436805_6	Carbohydrate transport and metabolism
k141_436805_7	Posttranslational modification, protein turnover, chaperones
k141_436805_8	Cell cycle control, cell division, chromosome partitioning
k141_219705_3	Translation, ribosomal structure and biogenesis
k141_219705_4	Translation, ribosomal structure and biogenesis
k141_219705_6	Carbohydrate transport and metabolism
k141_219705_7	Energy production and conversion
k141_219705_9	Transcription
k141_219705_10	Cell wall/membrane/envelope biogenesis
k141_219705_11	Coenzyme transport and metabolism
k141_219705_13	Coenzyme transport and metabolism
k141_219705_14	Replication, recombination and repair
k141_219705_15	Amino acid transport and metabolism
k141_219705_16	Amino acid transport and metabolism
k141_219705_17	Amino acid transport and metabolism
k141_219705_18	Amino acid transport and metabolism
k141_219705_19	Amino acid transport and metabolism
k141_219705_20	Amino acid transport and metabolism
k141_219705_21	Amino acid transport and metabolism
k141_219705_22	Amino acid transport and metabolism
k141_219705_23	Amino acid transport and metabolism
k141_219705_24	Energy production and conversion
k141_219705_25	Coenzyme transport and metabolism
k141_219705_30	Cell cycle control, cell division, chromosome partitioning
k141_437523_6	Signal transduction mechanisms
k141_437523_7	Transcription
k141_437523_8	Posttranslational modification, protein turnover, chaperones
k141_1767_6	Energy production and conversion
k141_1767_7	Coenzyme transport and metabolism
k141_1767_9	Posttranslational modification, protein turnover, chaperones
k141_1767_10	Translation, ribosomal structure and biogenesis
k141_1767_11	Translation, ribosomal structure and biogenesis
k141_1767_12	Energy production and conversion
k141_1767_13	Replication, recombination and repair
k141_1767_14	Replication, recombination and repair
k141_1767_16	Replication, recombination and repair
k141_1860_3	Lipid transport and metabolism
k141_1860_8	Carbohydrate transport and metabolism
k141_1860_9	Cell wall/membrane/envelope biogenesis
k141_1860_14	Transcription
k141_1860_16	Signal transduction mechanisms
k141_1860_18	Replication, recombination and repair
k141_1860_19	Replication, recombination and repair
k141_1860_20	Replication, recombination and repair
k141_1860_24	Amino acid transport and metabolism
k141_1860_25	Transcription
k141_1860_26	Translation, ribosomal structure and biogenesis
k141_1860_34	Energy production and conversion
