k141_743946_1	Posttranslational modification, protein turnover, chaperones
k141_743946_2	Transcription
k141_743946_3	Transcription
k141_929080_2	Energy production and conversion
k141_929196_1	Amino acid transport and metabolism
k141_373566_3	Nucleotide transport and metabolism
k141_373566_4	Transcription
k141_1114403_1	Posttranslational modification, protein turnover, chaperones
k141_559353_2	Amino acid transport and metabolism
k141_559353_10	Amino acid transport and metabolism
k141_559503_2	Posttranslational modification, protein turnover, chaperones
k141_188837_1	Posttranslational modification, protein turnover, chaperones
k141_188837_2	Posttranslational modification, protein turnover, chaperones
k141_745225_1	Energy production and conversion
k141_745225_2	Energy production and conversion
k141_929972_1	Transcription
k141_929972_2	Coenzyme transport and metabolism
k141_929972_3	Translation, ribosomal structure and biogenesis
k141_929972_5	Translation, ribosomal structure and biogenesis
k141_929972_6	Coenzyme transport and metabolism
k141_929972_9	Inorganic ion transport and metabolism
k141_929972_10	Coenzyme transport and metabolism
k141_929972_11	Translation, ribosomal structure and biogenesis
k141_929972_13	Translation, ribosomal structure and biogenesis
k141_929972_17	Amino acid transport and metabolism
k141_929972_18	Defense mechanisms
k141_929972_24	Coenzyme transport and metabolism
k141_929972_27	Transcription
k141_929972_28	Amino acid transport and metabolism
k141_929972_32	Signal transduction mechanisms
k141_929972_35	Amino acid transport and metabolism
k141_930239_1	Coenzyme transport and metabolism
k141_189598_1	Amino acid transport and metabolism
k141_374580_8	Coenzyme transport and metabolism
k141_374580_9	Coenzyme transport and metabolism
k141_374580_14	Translation, ribosomal structure and biogenesis
k141_374580_15	Coenzyme transport and metabolism
k141_374580_16	Coenzyme transport and metabolism
k141_374580_17	Amino acid transport and metabolism
k141_374580_18	Nucleotide transport and metabolism
k141_374580_22	Translation, ribosomal structure and biogenesis
k141_374580_25	Coenzyme transport and metabolism
k141_374580_26	Carbohydrate transport and metabolism
k141_374580_30	Transcription
k141_374580_33	Defense mechanisms
k141_374580_34	Secondary metabolites biosynthesis, transport and catabolism
k141_374580_35	Amino acid transport and metabolism
k141_374580_36	Amino acid transport and metabolism
k141_374580_37	Amino acid transport and metabolism
k141_374580_38	Replication, recombination and repair
k141_374580_41	Translation, ribosomal structure and biogenesis
k141_374580_42	Translation, ribosomal structure and biogenesis
k141_374580_43	Translation, ribosomal structure and biogenesis
k141_189998_1	Energy production and conversion
k141_189998_2	Nucleotide transport and metabolism
k141_189998_3	Energy production and conversion
k141_189998_4	Energy production and conversion
k141_189998_5	Inorganic ion transport and metabolism
k141_189998_6	Inorganic ion transport and metabolism
k141_189998_8	Energy production and conversion
k141_189998_10	Defense mechanisms
k141_189998_14	Nucleotide transport and metabolism
k141_3511_3	Energy production and conversion
k141_3511_4	Coenzyme transport and metabolism
k141_3511_7	Transcription
k141_3511_9	Inorganic ion transport and metabolism
k141_3511_10	Amino acid transport and metabolism
k141_3511_13	Posttranslational modification, protein turnover, chaperones
k141_3511_14	Posttranslational modification, protein turnover, chaperones
k141_3511_16	Energy production and conversion
k141_3511_17	Posttranslational modification, protein turnover, chaperones
k141_3511_19	Coenzyme transport and metabolism
k141_3511_24	Replication, recombination and repair
k141_3511_25	Replication, recombination and repair
k141_3632_1	Coenzyme transport and metabolism
k141_3632_2	Nucleotide transport and metabolism
k141_746473_1	Coenzyme transport and metabolism
k141_746473_4	Translation, ribosomal structure and biogenesis
k141_746473_5	Nucleotide transport and metabolism
k141_746473_6	Cell wall/membrane/envelope biogenesis
k141_746473_7	Amino acid transport and metabolism
k141_3636_4	Amino acid transport and metabolism
k141_3636_8	Lipid transport and metabolism
k141_3636_9	Defense mechanisms
k141_3636_12	Nucleotide transport and metabolism
k141_3636_17	Translation, ribosomal structure and biogenesis
k141_3636_19	Translation, ribosomal structure and biogenesis
k141_3636_20	Translation, ribosomal structure and biogenesis
k141_3636_22	Energy production and conversion
k141_3636_23	Carbohydrate transport and metabolism
k141_3636_25	Transcription
k141_3636_27	Coenzyme transport and metabolism
k141_3636_28	Coenzyme transport and metabolism
k141_3636_29	Coenzyme transport and metabolism
k141_3636_30	Nucleotide transport and metabolism
k141_931231_2	Amino acid transport and metabolism
k141_931231_6	Translation, ribosomal structure and biogenesis
k141_931231_8	Intracellular trafficking, secretion, and vesicular transport
k141_931231_13	Inorganic ion transport and metabolism
k141_931231_14	Inorganic ion transport and metabolism
k141_931231_15	Inorganic ion transport and metabolism
k141_931231_16	Transcription
k141_931231_17	Inorganic ion transport and metabolism
k141_931231_18	Cell cycle control, cell division, chromosome partitioning
k141_931231_20	Cell motility
k141_931231_21	Transcription
k141_561311_2	Energy production and conversion
k141_190801_1	Cell cycle control, cell division, chromosome partitioning
k141_561605_1	Cell wall/membrane/envelope biogenesis
k141_561605_2	Cell cycle control, cell division, chromosome partitioning
k141_561605_4	Inorganic ion transport and metabolism
k141_561605_6	Carbohydrate transport and metabolism
k141_561605_7	Secondary metabolites biosynthesis, transport and catabolism
k141_561605_8	Posttranslational modification, protein turnover, chaperones
k141_561605_9	Amino acid transport and metabolism
k141_4265_2	Secondary metabolites biosynthesis, transport and catabolism
k141_1117170_3	Posttranslational modification, protein turnover, chaperones
k141_561989_1	Nucleotide transport and metabolism
k141_561989_2	Nucleotide transport and metabolism
k141_562139_3	Energy production and conversion
