k141_145339_5	chemotaxis, protein
k141_145339_6	Protein of unknown function (DUF2892)
k141_145339_7	oxidoreductase
k141_145339_8	pteridine-dependent deoxygenase
k141_435897_1	-
k141_435897_2	AAA domain
k141_435897_4	Histidine kinase
k141_303_1	Hydroxymethylglutaryl-coenzyme A reductase
k141_303_2	Catalyzes the 1,3-allylic rearrangement of the homoallylic substrate isopentenyl (IPP) to its highly electrophilic allylic isomer, dimethylallyl diphosphate (DMAPP)
k141_73063_2	Glycosyl transferases group 1
k141_73063_3	Glycosyl transferase family 21
k141_73063_5	Involved in the biosynthesis of osmoregulated periplasmic glucans (OPGs)
k141_73063_6	Diguanylate cyclase
k141_73063_7	Belongs to the argininosuccinate synthase family. Type 1 subfamily
k141_73063_8	OmpA family
k141_73063_12	Histidine kinase
k141_73063_14	COG0745 Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain
k141_73063_15	Catalyzes the irreversible transfer of a propylamine group from the amino donor S-adenosylmethioninamine (decarboxy- AdoMet) to putrescine (1,4-diaminobutane) to yield spermidine
k141_73063_17	protein conserved in bacteria
k141_73063_18	Phage shock protein A
k141_73063_20	-
k141_73063_23	Domain of Unknown Function (DUF350)
k141_73063_24	Peptidase M50B-like
k141_364073_1	Transposase
k141_218986_1	Domain of unknown function (DUF3806)
k141_218986_3	Catalyzes the oxidation of 3-carboxy-2-hydroxy-4- methylpentanoate (3-isopropylmalate) to 3-carboxy-4-methyl-2- oxopentanoate. The product decarboxylates to 4-methyl-2 oxopentanoate
k141_218986_4	Protein of unknown function (DUF1343)
k141_73637_2	Na( )-linked D-alanine glycine permease
k141_73637_3	Peptidase, M16
k141_291689_1	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions
k141_291689_2	Binds to Cpn60 in the presence of Mg-ATP and suppresses the ATPase activity of the latter
k141_73679_3	that it carries out the mismatch recognition step. This protein has a weak ATPase activity
k141_73779_2	Belongs to the P(II) protein family
k141_73779_4	mechanosensitive ion channel
k141_73779_5	NAD-binding of NADP-dependent 3-hydroxyisobutyrate dehydrogenase
k141_292095_6	COG0474 Cation transport ATPase
k141_292095_7	Belongs to the small heat shock protein (HSP20) family
k141_1429_1	catalyzes the reversible aldol condensation of dihydroxyacetonephosphate and glyceraldehyde 3-phosphate in the Calvin cycle, glycolysis and gluconeogenesis
k141_1429_2	Psort location Cytoplasmic, score
k141_1429_3	Nucleotidyl transferase AbiEii toxin, Type IV TA system
k141_219712_11	Catalyzes ATP-dependent phosphorylation of adenosylcobinamide and addition of GMP to adenosylcobinamide phosphate
k141_219712_12	Catalyzes the synthesis of alpha-ribazole-5'-phosphate from nicotinate mononucleotide (NAMN) and 5,6- dimethylbenzimidazole (DMB)
k141_219712_13	Phosphoglycerate mutase family
k141_219712_14	Joins adenosylcobinamide-GDP and alpha-ribazole to generate adenosylcobalamin (Ado-cobalamin). Also synthesizes adenosylcobalamin 5'-phosphate from adenosylcobinamide-GDP and alpha-ribazole 5'-phosphate
k141_74447_7	contains PIN domain
k141_437526_3	Belongs to the zinc-containing alcohol dehydrogenase family. Quinone oxidoreductase subfamily
k141_219914_1	glutamate dehydrogenase
k141_219914_2	YHS domain
k141_365327_5	Sulfatase-modifying factor enzyme 1
k141_365381_1	COG4591 ABC-type transport system, involved in lipoprotein release, permease component
k141_365381_2	MacB-like periplasmic core domain
k141_74866_2	Curli production assembly transport component CsgG
k141_74866_3	Domain of unknown function (DUF4810)
k141_74866_4	(Lipo)protein
k141_75060_2	Carbohydrate ABC transporter substrate-binding protein, CUT1 family
k141_2046_4	PFAM Outer membrane efflux protein
k141_75156_5	Transposase IS4 family
k141_75156_6	-
