k141_145339_6	Inorganic ion transport and metabolism
k141_145339_7	Energy production and conversion
k141_145339_8	Translation, ribosomal structure and biogenesis
k141_435897_4	Signal transduction mechanisms
k141_303_1	Lipid transport and metabolism
k141_303_2	Lipid transport and metabolism
k141_73063_2	Cell wall/membrane/envelope biogenesis
k141_73063_3	Cell wall/membrane/envelope biogenesis
k141_73063_5	Inorganic ion transport and metabolism
k141_73063_6	Signal transduction mechanisms
k141_73063_7	Amino acid transport and metabolism
k141_73063_8	Cell wall/membrane/envelope biogenesis
k141_73063_12	Signal transduction mechanisms
k141_364073_1	Replication, recombination and repair
k141_218986_3	Coenzyme transport and metabolism
k141_73637_2	Amino acid transport and metabolism
k141_291689_1	Posttranslational modification, protein turnover, chaperones
k141_291689_2	Posttranslational modification, protein turnover, chaperones
k141_73679_3	Replication, recombination and repair
k141_73779_2	Transcription
k141_73779_4	Cell wall/membrane/envelope biogenesis
k141_73779_5	Lipid transport and metabolism
k141_292095_6	Inorganic ion transport and metabolism
k141_292095_7	Posttranslational modification, protein turnover, chaperones
k141_1429_1	Carbohydrate transport and metabolism
k141_1429_2	Transcription
k141_219712_11	Coenzyme transport and metabolism
k141_219712_12	Coenzyme transport and metabolism
k141_219712_13	Carbohydrate transport and metabolism
k141_219712_14	Coenzyme transport and metabolism
k141_437526_3	Energy production and conversion
k141_219914_1	Amino acid transport and metabolism
k141_365381_1	Cell wall/membrane/envelope biogenesis
k141_365381_2	Cell wall/membrane/envelope biogenesis
k141_74866_2	Cell wall/membrane/envelope biogenesis
k141_75060_2	Carbohydrate transport and metabolism
k141_75156_5	Replication, recombination and repair
k141_75156_8	Replication, recombination and repair
k141_75156_13	Nucleotide transport and metabolism
k141_75156_16	Replication, recombination and repair
k141_75156_20	Carbohydrate transport and metabolism
k141_366144_1	Cell cycle control, cell division, chromosome partitioning
k141_148677_3	Cell wall/membrane/envelope biogenesis
k141_148677_4	Defense mechanisms
k141_2565_2	Energy production and conversion
k141_366595_2	Inorganic ion transport and metabolism
k141_2589_6	Replication, recombination and repair
k141_76200_1	Amino acid transport and metabolism
k141_76200_3	Inorganic ion transport and metabolism
k141_367471_3	Signal transduction mechanisms
k141_367471_4	Signal transduction mechanisms
k141_3035_2	Nucleotide transport and metabolism
k141_3035_3	Nucleotide transport and metabolism
k141_3035_5	Replication, recombination and repair
k141_3035_6	Cell wall/membrane/envelope biogenesis
k141_3035_8	Amino acid transport and metabolism
k141_3035_9	Amino acid transport and metabolism
k141_3035_10	Posttranslational modification, protein turnover, chaperones
k141_3035_11	Signal transduction mechanisms
k141_3035_14	Replication, recombination and repair
k141_3035_22	Signal transduction mechanisms
k141_3035_31	Cell wall/membrane/envelope biogenesis
k141_3035_37	Cell wall/membrane/envelope biogenesis
k141_3035_43	Energy production and conversion
k141_3035_44	Energy production and conversion
k141_3035_45	Inorganic ion transport and metabolism
k141_3035_52	Coenzyme transport and metabolism
k141_3035_54	Coenzyme transport and metabolism
k141_76553_1	Posttranslational modification, protein turnover, chaperones
k141_294638_1	Inorganic ion transport and metabolism
k141_294638_2	Inorganic ion transport and metabolism
k141_294638_3	Amino acid transport and metabolism
k141_294638_4	Amino acid transport and metabolism
k141_294638_5	Amino acid transport and metabolism
k141_294638_6	Posttranslational modification, protein turnover, chaperones
k141_294638_7	Amino acid transport and metabolism
k141_294638_8	Cell wall/membrane/envelope biogenesis
k141_294638_9	Posttranslational modification, protein turnover, chaperones
k141_294638_18	Replication, recombination and repair
k141_294638_21	Replication, recombination and repair
k141_294638_23	Replication, recombination and repair
k141_294638_27	Replication, recombination and repair
k141_294638_28	Defense mechanisms
k141_294638_31	Nucleotide transport and metabolism
k141_3680_2	Translation, ribosomal structure and biogenesis
k141_3680_3	Inorganic ion transport and metabolism
k141_76928_2	Posttranslational modification, protein turnover, chaperones
k141_76928_3	Coenzyme transport and metabolism
k141_76928_4	Inorganic ion transport and metabolism
k141_76928_5	Energy production and conversion
k141_76928_7	Inorganic ion transport and metabolism
k141_150724_2	Translation, ribosomal structure and biogenesis
k141_150724_3	Translation, ribosomal structure and biogenesis
k141_150724_4	Transcription
k141_150724_5	Translation, ribosomal structure and biogenesis
k141_440393_2	Replication, recombination and repair
k141_440393_6	Carbohydrate transport and metabolism
k141_440510_4	Replication, recombination and repair
k141_440510_5	Replication, recombination and repair
k141_440510_8	Replication, recombination and repair
k141_77391_2	Lipid transport and metabolism
k141_77391_7	Nucleotide transport and metabolism
k141_4307_1	Intracellular trafficking, secretion, and vesicular transport
k141_4307_3	Translation, ribosomal structure and biogenesis
k141_151392_5	Cell cycle control, cell division, chromosome partitioning
k141_151392_6	Carbohydrate transport and metabolism
k141_151392_7	Transcription
k141_151392_8	Signal transduction mechanisms
k141_151392_9	Cell wall/membrane/envelope biogenesis
k141_151392_24	Energy production and conversion
k141_151392_35	Replication, recombination and repair
k141_151392_40	Transcription
k141_151495_3	Posttranslational modification, protein turnover, chaperones
k141_151495_4	Signal transduction mechanisms
k141_151495_8	Cell cycle control, cell division, chromosome partitioning
k141_151539_6	Cell wall/membrane/envelope biogenesis
k141_369371_1	Replication, recombination and repair
k141_369434_2	Cell wall/membrane/envelope biogenesis
k141_441088_2	Replication, recombination and repair
k141_441088_4	Replication, recombination and repair
k141_441088_7	Translation, ribosomal structure and biogenesis
k141_441088_8	Transcription
k141_441088_9	Translation, ribosomal structure and biogenesis
k141_441088_10	Translation, ribosomal structure and biogenesis
k141_441088_11	Translation, ribosomal structure and biogenesis
k141_441088_13	Intracellular trafficking, secretion, and vesicular transport
k141_441088_14	Translation, ribosomal structure and biogenesis
k141_441088_15	Translation, ribosomal structure and biogenesis
k141_441088_16	Translation, ribosomal structure and biogenesis
k141_441088_17	Translation, ribosomal structure and biogenesis
k141_441088_18	Translation, ribosomal structure and biogenesis
