#query	GOs
k141_3028_34	GO:0003674;GO:0003824;GO:0004152;GO:0005575;GO:0005622;GO:0005623;GO:0005737;GO:0006139;GO:0006206;GO:0006207;GO:0006725;GO:0006807;GO:0008150;GO:0008152;GO:0009058;GO:0009112;GO:0009987;GO:0016491;GO:0016627;GO:0016635;GO:0018130;GO:0019856;GO:0034641;GO:0044237;GO:0044238;GO:0044249;GO:0044271;GO:0044281;GO:0044424;GO:0044464;GO:0046112;GO:0046483;GO:0055086;GO:0055114;GO:0071704;GO:0072527;GO:0072528;GO:1901360;GO:1901362;GO:1901564;GO:1901566;GO:1901576
k141_153711_7	GO:0003674;GO:0003724;GO:0003824;GO:0004004;GO:0004386;GO:0005575;GO:0005622;GO:0005623;GO:0005737;GO:0006139;GO:0006725;GO:0006807;GO:0008026;GO:0008150;GO:0008152;GO:0008186;GO:0009987;GO:0010501;GO:0016070;GO:0016462;GO:0016787;GO:0016817;GO:0016818;GO:0016887;GO:0017111;GO:0034641;GO:0042623;GO:0043170;GO:0044237;GO:0044238;GO:0044424;GO:0044464;GO:0046483;GO:0070035;GO:0071704;GO:0090304;GO:0140098;GO:1901360
k141_300981_15	GO:0003674;GO:0003824;GO:0006139;GO:0006259;GO:0006281;GO:0006725;GO:0006807;GO:0006950;GO:0006974;GO:0008150;GO:0008152;GO:0009987;GO:0016787;GO:0016798;GO:0016799;GO:0019104;GO:0033554;GO:0034641;GO:0043170;GO:0044237;GO:0044238;GO:0044260;GO:0046483;GO:0050896;GO:0051716;GO:0071704;GO:0090304;GO:0097506;GO:0140097;GO:1901360
k141_229919_19	GO:0000049;GO:0001510;GO:0003674;GO:0003676;GO:0003723;GO:0003824;GO:0004809;GO:0005488;GO:0006139;GO:0006396;GO:0006399;GO:0006400;GO:0006725;GO:0006807;GO:0008033;GO:0008150;GO:0008152;GO:0008168;GO:0008170;GO:0008173;GO:0008175;GO:0008757;GO:0009451;GO:0009987;GO:0010467;GO:0016070;GO:0016423;GO:0016740;GO:0016741;GO:0030488;GO:0032259;GO:0034470;GO:0034641;GO:0034660;GO:0043170;GO:0043412;GO:0043414;GO:0044237;GO:0044238;GO:0044260;GO:0046483;GO:0071704;GO:0090304;GO:0097159;GO:0140098;GO:0140101;GO:1901360;GO:1901363
k141_95518_2	GO:0003674;GO:0003824;GO:0003886;GO:0006139;GO:0006259;GO:0006304;GO:0006305;GO:0006306;GO:0006725;GO:0006807;GO:0008150;GO:0008152;GO:0008168;GO:0008757;GO:0009008;GO:0009987;GO:0016740;GO:0016741;GO:0032259;GO:0032776;GO:0034641;GO:0043170;GO:0043412;GO:0043414;GO:0044237;GO:0044238;GO:0044260;GO:0044728;GO:0046483;GO:0071704;GO:0090116;GO:0090304;GO:0140097;GO:1901360
k141_99277_2	GO:0003674;GO:0003824;GO:0003954;GO:0005575;GO:0005622;GO:0005623;GO:0005737;GO:0005739;GO:0005740;GO:0005743;GO:0005746;GO:0005747;GO:0006091;GO:0006119;GO:0006120;GO:0006139;GO:0006163;GO:0006725;GO:0006753;GO:0006793;GO:0006796;GO:0006807;GO:0006950;GO:0006979;GO:0006996;GO:0007005;GO:0008137;GO:0008150;GO:0008152;GO:0009117;GO:0009123;GO:0009126;GO:0009141;GO:0009144;GO:0009150;GO:0009161;GO:0009167;GO:0009199;GO:0009205;GO:0009259;GO:0009507;GO:0009536;GO:0009987;GO:0010033;GO:0010257;GO:0014070;GO:0015979;GO:0015980;GO:0016020;GO:0016043;GO:0016310;GO:0016491;GO:0016651;GO:0016655;GO:0017144;GO:0019637;GO:0019693;GO:0019866;GO:0022607;GO:0022900;GO:0022904;GO:0030425;GO:0030964;GO:0031090;GO:0031966;GO:0031967;GO:0031975;GO:0032981;GO:0032991;GO:0033108;GO:0033194;GO:0034622;GO:0034641;GO:0036477;GO:0042221;GO:0042493;GO:0042773;GO:0042775;GO:0042995;GO:0043005;GO:0043025;GO:0043226;GO:0043227;GO:0043229;GO:0043231;GO:0043933;GO:0044085;GO:0044237;GO:0044238;GO:0044281;GO:0044297;GO:0044422;GO:0044424;GO:0044425;GO:0044429;GO:0044444;GO:0044446;GO:0044455;GO:0044463;GO:0044464;GO:0045271;GO:0045333;GO:0046034;GO:0046483;GO:0050136;GO:0050896;GO:0055086;GO:0055114;GO:0065003;GO:0070469;GO:0071704;GO:0071840;GO:0072521;GO:0097447;GO:0097458;GO:0098796;GO:0098798;GO:0098800;GO:0098803;GO:0120025;GO:0120038;GO:1901135;GO:1901360;GO:1901564;GO:1901700;GO:1902494;GO:1990204
k141_99277_3	GO:0005575;GO:0005622;GO:0005623;GO:0005737;GO:0005739;GO:0005740;GO:0005743;GO:0016020;GO:0019866;GO:0031090;GO:0031966;GO:0031967;GO:0031975;GO:0043226;GO:0043227;GO:0043229;GO:0043231;GO:0044422;GO:0044424;GO:0044429;GO:0044444;GO:0044446;GO:0044464
k141_99277_4	GO:0003674;GO:0003824;GO:0003954;GO:0005575;GO:0005622;GO:0005623;GO:0005737;GO:0005739;GO:0005740;GO:0005743;GO:0005746;GO:0005747;GO:0006091;GO:0006119;GO:0006120;GO:0006139;GO:0006163;GO:0006725;GO:0006753;GO:0006793;GO:0006796;GO:0006807;GO:0006950;GO:0006979;GO:0006996;GO:0007005;GO:0008137;GO:0008150;GO:0008152;GO:0009117;GO:0009123;GO:0009126;GO:0009141;GO:0009144;GO:0009150;GO:0009161;GO:0009167;GO:0009199;GO:0009205;GO:0009259;GO:0009314;GO:0009416;GO:0009628;GO:0009642;GO:0009719;GO:0009725;GO:0009987;GO:0010033;GO:0010257;GO:0014070;GO:0015980;GO:0016020;GO:0016043;GO:0016310;GO:0016491;GO:0016651;GO:0016655;GO:0017144;GO:0019637;GO:0019693;GO:0019866;GO:0022607;GO:0022900;GO:0022904;GO:0030964;GO:0031090;GO:0031960;GO:0031966;GO:0031967;GO:0031975;GO:0032870;GO:0032981;GO:0032991;GO:0033108;GO:0033993;GO:0034622;GO:0034641;GO:0042221;GO:0042773;GO:0042775;GO:0043226;GO:0043227;GO:0043229;GO:0043231;GO:0043933;GO:0044085;GO:0044237;GO:0044238;GO:0044281;GO:0044422;GO:0044424;GO:0044425;GO:0044429;GO:0044444;GO:0044446;GO:0044455;GO:0044464;GO:0045271;GO:0045333;GO:0046034;GO:0046483;GO:0048545;GO:0050136;GO:0050896;GO:0051384;GO:0051716;GO:0055086;GO:0055114;GO:0065003;GO:0070469;GO:0070887;GO:0071310;GO:0071383;GO:0071384;GO:0071385;GO:0071396;GO:0071407;GO:0071495;GO:0071704;GO:0071840;GO:0072521;GO:0098796;GO:0098798;GO:0098800;GO:0098803;GO:1901135;GO:1901360;GO:1901564;GO:1902494;GO:1990204
k141_99277_7	GO:0000276;GO:0003674;GO:0003824;GO:0005215;GO:0005575;GO:0005622;GO:0005623;GO:0005737;GO:0005739;GO:0005740;GO:0005743;GO:0005753;GO:0006139;GO:0006163;GO:0006164;GO:0006725;GO:0006753;GO:0006754;GO:0006793;GO:0006796;GO:0006807;GO:0006810;GO:0006811;GO:0006812;GO:0008150;GO:0008152;GO:0008324;GO:0009058;GO:0009117;GO:0009123;GO:0009124;GO:0009126;GO:0009127;GO:0009141;GO:0009142;GO:0009144;GO:0009145;GO:0009150;GO:0009152;GO:0009156;GO:0009161;GO:0009165;GO:0009167;GO:0009168;GO:0009199;GO:0009201;GO:0009205;GO:0009206;GO:0009259;GO:0009260;GO:0009987;GO:0015075;GO:0015077;GO:0015078;GO:0015318;GO:0015399;GO:0015405;GO:0015672;GO:0015985;GO:0015986;GO:0016020;GO:0016462;GO:0016469;GO:0016787;GO:0016817;GO:0016818;GO:0016887;GO:0017111;GO:0017144;GO:0018130;GO:0019438;GO:0019637;GO:0019693;GO:0019829;GO:0019866;GO:0022804;GO:0022853;GO:0022857;GO:0022890;GO:0031090;GO:0031966;GO:0031967;GO:0031975;GO:0032991;GO:0033177;GO:0034220;GO:0034641;GO:0034654;GO:0042623;GO:0042625;GO:0042626;GO:0043226;GO:0043227;GO:0043229;GO:0043231;GO:0043492;GO:0044237;GO:0044238;GO:0044249;GO:0044271;GO:0044281;GO:0044422;GO:0044424;GO:0044425;GO:0044429;GO:0044444;GO:0044446;GO:0044455;GO:0044464;GO:0044769;GO:0045259;GO:0045263;GO:0046034;GO:0046390;GO:0046483;GO:0046933;GO:0051179;GO:0051234;GO:0055085;GO:0055086;GO:0071704;GO:0072521;GO:0072522;GO:0090407;GO:0090662;GO:0098655;GO:0098660;GO:0098662;GO:0098796;GO:0098798;GO:0098800;GO:0099131;GO:0099132;GO:1901135;GO:1901137;GO:1901293;GO:1901360;GO:1901362;GO:1901564;GO:1901566;GO:1901576;GO:1902600
k141_99277_8	GO:0000003;GO:0001666;GO:0003674;GO:0003824;GO:0005488;GO:0005575;GO:0005622;GO:0005623;GO:0005737;GO:0005739;GO:0005740;GO:0005743;GO:0005746;GO:0005750;GO:0006091;GO:0006119;GO:0006122;GO:0006139;GO:0006163;GO:0006725;GO:0006753;GO:0006793;GO:0006796;GO:0006807;GO:0006810;GO:0006811;GO:0006812;GO:0006950;GO:0006970;GO:0006972;GO:0006979;GO:0007275;GO:0007276;GO:0007283;GO:0007584;GO:0008121;GO:0008150;GO:0008152;GO:0009055;GO:0009117;GO:0009123;GO:0009126;GO:0009141;GO:0009144;GO:0009150;GO:0009161;GO:0009167;GO:0009199;GO:0009205;GO:0009259;GO:0009266;GO:0009408;GO:0009605;GO:0009628;GO:0009636;GO:0009651;GO:0009719;GO:0009725;GO:0009987;GO:0009991;GO:0010033;GO:0010035;GO:0010038;GO:0010243;GO:0014070;GO:0015672;GO:0015980;GO:0015988;GO:0015990;GO:0016020;GO:0016021;GO:0016310;GO:0016491;GO:0016679;GO:0016681;GO:0017144;GO:0019637;GO:0019693;GO:0019866;GO:0019953;GO:0020037;GO:0022414;GO:0022900;GO:0022904;GO:0031090;GO:0031099;GO:0031100;GO:0031224;GO:0031300;GO:0031301;GO:0031304;GO:0031305;GO:0031667;GO:0031966;GO:0031967;GO:0031975;GO:0032501;GO:0032502;GO:0032504;GO:0032592;GO:0032991;GO:0033273;GO:0033590;GO:0033762;GO:0034220;GO:0034641;GO:0036293;GO:0036296;GO:0042221;GO:0042493;GO:0042538;GO:0042773;GO:0042775;GO:0043226;GO:0043227;GO:0043229;GO:0043231;GO:0043434;GO:0044237;GO:0044238;GO:0044281;GO:0044422;GO:0044424;GO:0044425;GO:0044429;GO:0044444;GO:0044446;GO:0044455;GO:0044464;GO:0044703;GO:0044877;GO:0045275;GO:0045333;GO:0045471;GO:0046034;GO:0046483;GO:0046677;GO:0046686;GO:0046688;GO:0046689;GO:0046906;GO:0048037;GO:0048038;GO:0048039;GO:0048232;GO:0048513;GO:0048609;GO:0048731;GO:0048856;GO:0050896;GO:0051179;GO:0051234;GO:0051592;GO:0051704;GO:0055085;GO:0055086;GO:0055093;GO:0055114;GO:0070069;GO:0070469;GO:0070482;GO:0071704;GO:0072521;GO:0097159;GO:0097305;GO:0098573;GO:0098655;GO:0098660;GO:0098662;GO:0098796;GO:0098798;GO:0098800;GO:0098803;GO:1901135;GO:1901360;GO:1901363;GO:1901564;GO:1901652;GO:1901698;GO:1901700;GO:1902494;GO:1902600;GO:1990204
